[rosmaster.main][INFO] 2025-08-20 16:43:46,824: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-20 16:43:46,825: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-20 16:43:46,826: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-20 16:43:46,827: Started XML-RPC server [http://kelpie2:11311/]
[rosmaster.master][INFO] 2025-08-20 16:43:46,828: Master initialized: port[11311], uri[http://kelpie2:11311/]
[xmlrpc][INFO] 2025-08-20 16:43:46,828: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-20 16:43:46,946: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:43:46,949: +PARAM [/roslaunch/uris/host_kelpie2__39075] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:43:47,096: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:43:47,096: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:43:47,277: +SERVICE [/rosout/get_loggers] /rosout http://kelpie2:40183/
[rosmaster.master][INFO] 2025-08-20 16:43:47,279: +SERVICE [/rosout/set_logger_level] /rosout http://kelpie2:40183/
[rosmaster.master][INFO] 2025-08-20 16:43:47,283: +PUB [/rosout_agg] /rosout http://kelpie2:40183/
[rosmaster.master][INFO] 2025-08-20 16:43:47,289: +SUB [/rosout] /rosout http://kelpie2:40183/
[rosmaster.master][INFO] 2025-08-20 16:53:56,150: +PARAM [/roslaunch/uris/host_kelpie2__40159] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:53:56,162: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:53:56,162: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:53:56,162: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:53:56,162: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:53:56,163: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:53:56,163: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
