[rosmaster.main][INFO] 2025-08-13 17:49:20,643: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:49:20,643: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:49:20,645: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:49:20,646: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:49:20,646: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:49:20,646: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:49:20,764: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:49:20,768: +PARAM [/roslaunch/uris/host_localhost__43895] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:49:20,903: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:49:20,904: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:49:20,914: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43047/
[rosmaster.master][INFO] 2025-08-13 17:49:20,916: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43047/
[rosmaster.master][INFO] 2025-08-13 17:49:20,919: +PUB [/rosout_agg] /rosout http://localhost:43047/
[rosmaster.master][INFO] 2025-08-13 17:49:20,927: +SUB [/rosout] /rosout http://localhost:43047/
[rosmaster.master][INFO] 2025-08-13 17:49:35,237: -PUB [/rosout_agg] /rosout http://localhost:43047/
[rosmaster.master][INFO] 2025-08-13 17:49:35,238: -SUB [/rosout] /rosout http://localhost:43047/
[rosmaster.master][INFO] 2025-08-13 17:49:35,239: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:53805
[rosmaster.master][INFO] 2025-08-13 17:49:35,241: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:53805
[rosmaster.main][INFO] 2025-08-13 17:49:35,257: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-08-13 17:49:35,257: stopping master...
[rospy.core][INFO] 2025-08-13 17:49:35,258: signal_shutdown [atexit]
