[rosmaster.main][INFO] 2025-08-13 17:20:45,460: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:20:45,460: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:20:45,462: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:20:45,463: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:20:45,463: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:20:45,463: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:20:45,483: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,486: +PARAM [/roslaunch/uris/host_localhost__42813] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,622: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,622: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,622: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,623: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,623: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,623: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,624: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,624: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,624: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,624: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,625: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,625: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,625: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,625: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,626: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,626: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,626: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,627: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,627: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,628: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,629: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:20:45,631: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36465/
[rosmaster.master][INFO] 2025-08-13 17:20:45,634: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36465/
[rosmaster.master][INFO] 2025-08-13 17:20:45,640: +PUB [/rosout_agg] /rosout http://localhost:36465/
[rosmaster.master][INFO] 2025-08-13 17:20:45,652: +SUB [/rosout] /rosout http://localhost:36465/
[rosmaster.master][INFO] 2025-08-13 17:20:47,588: +PUB [/rosout] /kelpie http://localhost:41445/
[rosmaster.master][INFO] 2025-08-13 17:20:47,599: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:41445/
[rosmaster.master][INFO] 2025-08-13 17:20:47,603: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:41445/
