[rosmaster.main][INFO] 2025-08-14 14:42:09,339: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 14:42:09,339: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 14:42:09,341: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-14 14:42:09,342: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-14 14:42:09,343: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-14 14:42:09,343: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 14:42:09,456: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:42:09,460: +PARAM [/roslaunch/uris/host_localhost__46521] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:42:09,596: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:42:09,597: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:42:09,608: +SERVICE [/rosout/get_loggers] /rosout http://localhost:37877/
[rosmaster.master][INFO] 2025-08-14 14:42:09,610: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:37877/
[rosmaster.master][INFO] 2025-08-14 14:42:09,614: +PUB [/rosout_agg] /rosout http://localhost:37877/
[rosmaster.master][INFO] 2025-08-14 14:42:09,622: +SUB [/rosout] /rosout http://localhost:37877/
[rosmaster.master][INFO] 2025-08-14 14:49:05,571: +PARAM [/roslaunch/uris/host_localhost__36345] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,581: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,581: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,581: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,582: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,582: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,582: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,582: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,582: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,583: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,583: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,583: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,583: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,583: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,583: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:05,584: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:49:07,967: +PUB [/rosout] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:07,975: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:07,979: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:07,991: +SERVICE [/rosapi/topics] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:07,994: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,007: +SERVICE [/rosapi/services] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,012: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,016: +SERVICE [/rosapi/nodes] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,020: +SERVICE [/rosapi/node_details] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,024: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,027: +PUB [/rosout] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,029: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,036: +SERVICE [/rosapi/service_type] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,040: +SERVICE [/rosapi/publishers] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,046: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,053: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,055: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,068: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,078: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,081: +SERVICE [/rosapi/service_node] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,088: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,088: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/', 'http://localhost:39743/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,090: +SUB [/kelpie/imu] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,096: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,099: +SERVICE [/rosapi/service_host] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,105: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/', 'http://localhost:39743/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,109: +SERVICE [/rosapi/message_details] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,113: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,115: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,119: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,122: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,125: +SERVICE [/rosapi/set_param] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,129: +SERVICE [/rosapi/get_param] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,133: +SERVICE [/rosapi/has_param] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,137: +SERVICE [/rosapi/search_param] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,145: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,147: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,151: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,156: +SUB [/kelpie/command_input] /kelpie http://localhost:39743/
[rosmaster.master][INFO] 2025-08-14 14:49:08,158: +SERVICE [/rosapi/get_time] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,162: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,163: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:08,166: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,169: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-14 14:49:08,172: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,177: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,183: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,188: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,194: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,199: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-14 14:49:08,328: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-14 14:49:08,510: +PUB [/kelpie/leg_control/currents] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,513: +PUB [/kelpie/battery/voltage] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,517: +PUB [/kelpie/imu] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,587: publisherUpdate[/kelpie/leg_control/currents] -> http://localhost:39743/ ['http://localhost:44719/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,602: +PUB [/rosout] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,607: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/', 'http://localhost:39743/', 'http://localhost:44719/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,616: +PUB [/rosout] /rosbridge_websocket http://localhost:45329/
[rosmaster.master][INFO] 2025-08-14 14:49:08,618: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/', 'http://localhost:39743/', 'http://localhost:44719/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,625: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/', 'http://localhost:39743/', 'http://localhost:44719/', 'http://localhost:45329/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,630: publisherUpdate[/rosout] -> http://localhost:37877/ ['http://localhost:36865/', 'http://localhost:39743/', 'http://localhost:44719/', 'http://localhost:45329/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,633: publisherUpdate[/kelpie/leg_control/currents] -> http://localhost:39743/ ['http://localhost:44719/']: sec=0.05, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,638: publisherUpdate[/kelpie/battery/voltage] -> http://localhost:39743/ ['http://localhost:44719/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,645: +SERVICE [/hardware/get_loggers] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,651: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:45329/
[rosmaster.master][INFO] 2025-08-14 14:49:08,653: +SERVICE [/hardware/set_logger_level] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,655: publisherUpdate[/kelpie/battery/voltage] -> http://localhost:39743/ ['http://localhost:44719/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,661: publisherUpdate[/kelpie/imu] -> http://localhost:39743/ ['http://localhost:44719/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,665: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:45329/
[rosmaster.master][INFO] 2025-08-14 14:49:08,673: publisherUpdate[/kelpie/imu] -> http://localhost:39743/ ['http://localhost:44719/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:08,755: +PUB [/client_count] /rosbridge_websocket http://localhost:45329/
[rosmaster.master][INFO] 2025-08-14 14:49:08,760: +PUB [/connected_clients] /rosbridge_websocket http://localhost:45329/
[rosmaster.master][INFO] 2025-08-14 14:49:08,776: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-14 14:49:08,788: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-14 14:49:08,805: +SUB [/kelpie/leg_control/joint_states] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,824: +SUB [/joy] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,830: +PUB [/kelpie/command_input] /hardware http://localhost:44719/
[rosmaster.master][INFO] 2025-08-14 14:49:08,832: publisherUpdate[/kelpie/command_input] -> http://localhost:39743/ ['http://localhost:44719/']
[rosmaster.master][INFO] 2025-08-14 14:49:08,891: publisherUpdate[/kelpie/command_input] -> http://localhost:39743/ ['http://localhost:44719/']: sec=0.06, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:49:22,931: -PUB [/rosout] /rosapi http://localhost:36865/
[rosmaster.master][INFO] 2025-08-14 14:49:22,931: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,931: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,932: -SERVICE [/rosapi/topics] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,932: -SERVICE [/rosapi/topics_for_type] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,932: -SERVICE [/rosapi/services] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,932: -SERVICE [/rosapi/services_for_type] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,933: -SERVICE [/rosapi/nodes] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,933: -SERVICE [/rosapi/node_details] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,933: -SERVICE [/rosapi/action_servers] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,933: -SERVICE [/rosapi/topic_type] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,934: -SERVICE [/rosapi/service_type] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,934: -SERVICE [/rosapi/publishers] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,934: -SERVICE [/rosapi/subscribers] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,934: -SERVICE [/rosapi/service_providers] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,935: -SERVICE [/rosapi/service_node] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,935: -SERVICE [/rosapi/service_host] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,935: -SERVICE [/rosapi/message_details] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,935: -SERVICE [/rosapi/service_request_details] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,936: -SERVICE [/rosapi/service_response_details] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,936: -SERVICE [/rosapi/set_param] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,936: -SERVICE [/rosapi/get_param] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,936: -SERVICE [/rosapi/has_param] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,936: -SERVICE [/rosapi/search_param] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,937: -SERVICE [/rosapi/delete_param] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,937: -SERVICE [/rosapi/get_param_names] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,937: -SERVICE [/rosapi/get_time] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,937: -SERVICE [/rosapi/topics_and_raw_types] /rosapi rosrpc://localhost:38185
[rosmaster.master][INFO] 2025-08-14 14:49:22,950: -SUB [/kelpie/leg_control/joint_states] /hardware http://localhost:44719/
