[rosmaster.main][INFO] 2025-08-13 16:23:35,339: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 16:23:35,339: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 16:23:35,341: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 16:23:35,341: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 16:23:35,342: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 16:23:35,342: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 16:23:35,376: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,379: +PARAM [/roslaunch/uris/host_localhost__43845] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,497: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,497: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,498: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,498: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,498: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,498: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,499: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,499: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,499: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,500: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,500: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,500: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,500: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,501: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,501: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,501: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,501: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,502: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,502: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,502: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,502: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:23:35,681: +SERVICE [/rosout/get_loggers] /rosout http://localhost:42357/
[rosmaster.master][INFO] 2025-08-13 16:23:35,683: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:42357/
[rosmaster.master][INFO] 2025-08-13 16:23:35,688: +PUB [/rosout_agg] /rosout http://localhost:42357/
[rosmaster.master][INFO] 2025-08-13 16:23:35,698: +SUB [/rosout] /rosout http://localhost:42357/
[rosmaster.master][INFO] 2025-08-13 16:23:36,878: +PUB [/rosout] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,885: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,888: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,898: +SERVICE [/rosapi/topics] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,901: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,904: +SERVICE [/rosapi/services] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,907: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,910: +SERVICE [/rosapi/nodes] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,913: +SERVICE [/rosapi/node_details] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,917: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,920: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,923: +SERVICE [/rosapi/service_type] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,926: +SERVICE [/rosapi/publishers] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,930: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,933: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,936: +SERVICE [/rosapi/service_node] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,939: +SERVICE [/rosapi/service_host] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,943: +SERVICE [/rosapi/message_details] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,943: publisherUpdate[/rosout] -> http://localhost:42357/ ['http://localhost:46419/']
[rosmaster.master][INFO] 2025-08-13 16:23:36,947: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,954: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,957: publisherUpdate[/rosout] -> http://localhost:42357/ ['http://localhost:46419/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:23:36,958: +SERVICE [/rosapi/set_param] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,962: +SERVICE [/rosapi/get_param] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,965: +SERVICE [/rosapi/has_param] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,968: +SERVICE [/rosapi/search_param] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,971: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,974: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,977: +SERVICE [/rosapi/get_time] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,981: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:36,984: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-13 16:23:37,165: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-13 16:23:37,636: +PUB [/rosout] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:37,645: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:37,645: publisherUpdate[/rosout] -> http://localhost:42357/ ['http://localhost:46419/', 'http://localhost:37923/']
[rosmaster.master][INFO] 2025-08-13 16:23:37,652: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:37,655: publisherUpdate[/rosout] -> http://localhost:42357/ ['http://localhost:46419/', 'http://localhost:37923/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 16:23:37,689: +PUB [/client_count] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:37,692: +PUB [/connected_clients] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:37,701: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:23:37,708: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-13 16:23:53,899: -PUB [/rosout] /rosapi http://localhost:46419/
[rosmaster.master][INFO] 2025-08-13 16:23:53,899: -PUB [/rosout] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:53,900: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:40425
[rosmaster.master][INFO] 2025-08-13 16:23:53,900: -PUB [/client_count] /rosbridge_websocket http://localhost:37923/
[rosmaster.master][INFO] 2025-08-13 16:23:53,900: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:40425
[rosmaster.master][INFO] 2025-08-13 16:23:53,900: -PUB [/connected_clients] /rosbridge_websocket http://localhost:37923/
