[rosmaster.main][INFO] 2025-08-14 17:26:50,903: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 17:26:50,903: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 17:26:50,905: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-14 17:26:50,906: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-14 17:26:50,906: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-14 17:26:50,906: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 17:26:51,025: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:26:51,028: +PARAM [/roslaunch/uris/host_localhost__33803] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:26:51,163: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:26:51,163: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:26:51,174: +SERVICE [/rosout/get_loggers] /rosout http://localhost:35919/
[rosmaster.master][INFO] 2025-08-14 17:26:51,175: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:35919/
[rosmaster.master][INFO] 2025-08-14 17:26:51,178: +PUB [/rosout_agg] /rosout http://localhost:35919/
[rosmaster.master][INFO] 2025-08-14 17:26:51,184: +SUB [/rosout] /rosout http://localhost:35919/
[rosmaster.master][INFO] 2025-08-14 17:27:14,510: -PUB [/rosout_agg] /rosout http://localhost:35919/
[rosmaster.master][INFO] 2025-08-14 17:27:14,511: -SUB [/rosout] /rosout http://localhost:35919/
[rosmaster.master][INFO] 2025-08-14 17:27:14,513: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:51167
[rosmaster.master][INFO] 2025-08-14 17:27:14,514: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:51167
[rosmaster.main][INFO] 2025-08-14 17:27:14,546: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-08-14 17:27:14,547: stopping master...
[rospy.core][INFO] 2025-08-14 17:27:14,547: signal_shutdown [atexit]
