[rosmaster.main][INFO] 2025-09-09 11:34:21,596: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-09 11:34:21,596: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-09 11:34:21,598: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-09 11:34:21,599: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-09 11:34:21,599: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-09 11:34:21,599: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-09 11:34:21,709: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:34:21,712: +PARAM [/roslaunch/uris/host_10_237_54_207__37647] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:34:21,861: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:34:21,861: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:34:22,039: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:41997/
[rosmaster.master][INFO] 2025-09-09 11:34:22,041: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:41997/
[rosmaster.master][INFO] 2025-09-09 11:34:22,045: +PUB [/rosout_agg] /rosout http://10.237.54.207:41997/
[rosmaster.master][INFO] 2025-09-09 11:34:22,053: +SUB [/rosout] /rosout http://10.237.54.207:41997/
[rosmaster.master][INFO] 2025-09-09 11:37:33,659: +PARAM [/roslaunch/uris/host_10_237_54_207__35357] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,672: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,672: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,672: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,673: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,673: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,673: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,673: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,674: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,674: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,674: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,674: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,674: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,675: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,675: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,675: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,675: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,676: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,676: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,676: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,676: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,676: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,677: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:33,677: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 11:37:34,125: +PUB [/rosout] /JOYSTICK http://10.237.54.207:41415/
[rosmaster.master][INFO] 2025-09-09 11:37:34,127: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.237.54.207:41415/
