[rosmaster.main][INFO] 2025-08-11 11:25:49,208: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 11:25:49,209: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 11:25:49,210: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 11:25:49,211: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 11:25:49,211: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 11:25:49,212: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 11:25:49,243: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,247: +PARAM [/roslaunch/uris/host_localhost__34833] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,354: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,354: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,355: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,355: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,355: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,355: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,356: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,356: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,356: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,356: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,357: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,357: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,357: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,357: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,357: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,358: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,358: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,359: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,360: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,360: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,361: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:25:49,363: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44161/
[rosmaster.master][INFO] 2025-08-11 11:25:49,364: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44161/
[rosmaster.master][INFO] 2025-08-11 11:25:49,370: +PUB [/rosout_agg] /rosout http://localhost:44161/
[rosmaster.master][INFO] 2025-08-11 11:25:49,382: +SUB [/rosout] /rosout http://localhost:44161/
[rosmaster.master][INFO] 2025-08-11 11:25:50,568: +PUB [/rosout] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,575: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,578: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,587: +SERVICE [/rosapi/topics] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,590: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,593: +SERVICE [/rosapi/services] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,596: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,599: +SERVICE [/rosapi/nodes] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,602: +SERVICE [/rosapi/node_details] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,605: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,607: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,610: +SERVICE [/rosapi/service_type] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,612: publisherUpdate[/rosout] -> http://localhost:44161/ ['http://localhost:33101/']
[rosmaster.master][INFO] 2025-08-11 11:25:50,615: +SERVICE [/rosapi/publishers] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,623: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,626: publisherUpdate[/rosout] -> http://localhost:44161/ ['http://localhost:33101/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 11:25:50,627: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,630: +SERVICE [/rosapi/service_node] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,633: +SERVICE [/rosapi/service_host] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,636: +SERVICE [/rosapi/message_details] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,638: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,641: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,644: +SERVICE [/rosapi/set_param] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,647: +SERVICE [/rosapi/get_param] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,649: +SERVICE [/rosapi/has_param] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,652: +SERVICE [/rosapi/search_param] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,655: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,658: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,660: +SERVICE [/rosapi/get_time] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,663: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:25:50,666: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 11:25:50,832: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-11 11:25:51,139: +PUB [/rosout] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:25:51,147: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:25:51,150: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:25:51,186: +PUB [/client_count] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:25:51,189: +PUB [/connected_clients] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:25:51,198: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 11:25:51,205: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 11:25:51,215: publisherUpdate[/rosout] -> http://localhost:44161/ ['http://localhost:33101/', 'http://localhost:43569/']
[rosmaster.master][INFO] 2025-08-11 11:25:51,225: publisherUpdate[/rosout] -> http://localhost:44161/ ['http://localhost:33101/', 'http://localhost:43569/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 11:26:36,416: -PUB [/rosout] /rosapi http://localhost:33101/
[rosmaster.master][INFO] 2025-08-11 11:26:36,418: -PUB [/rosout] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:26:36,418: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,418: -PUB [/client_count] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:26:36,419: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,419: -PUB [/connected_clients] /rosbridge_websocket http://localhost:43569/
[rosmaster.master][INFO] 2025-08-11 11:26:36,419: -SERVICE [/rosapi/topics] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,419: -SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket rosrpc://localhost:34409
[rosmaster.master][INFO] 2025-08-11 11:26:36,420: -SERVICE [/rosapi/topics_for_type] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,420: -SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket rosrpc://localhost:34409
[rosmaster.master][INFO] 2025-08-11 11:26:36,421: -SERVICE [/rosapi/services] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,421: -SERVICE [/rosapi/services_for_type] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,422: -SERVICE [/rosapi/nodes] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,422: -SERVICE [/rosapi/node_details] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,422: -SERVICE [/rosapi/action_servers] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,423: -SERVICE [/rosapi/topic_type] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,423: -SERVICE [/rosapi/service_type] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,423: -SERVICE [/rosapi/publishers] /rosapi rosrpc://localhost:37911
[rosmaster.master][INFO] 2025-08-11 11:26:36,424: -SERVICE [/rosapi/subscribers] /rosapi rosrpc://localhost:37911
