[rosmaster.main][INFO] 2025-09-04 16:48:06,954: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-04 16:48:06,954: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-04 16:48:06,956: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-04 16:48:06,957: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-04 16:48:06,957: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-04 16:48:06,957: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-04 16:48:07,052: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:07,055: +PARAM [/roslaunch/uris/host_10_237_54_207__38771] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:07,187: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:07,188: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:07,198: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:41751/
[rosmaster.master][INFO] 2025-09-04 16:48:07,199: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:41751/
[rosmaster.master][INFO] 2025-09-04 16:48:07,202: +PUB [/rosout_agg] /rosout http://10.237.54.207:41751/
[rosmaster.master][INFO] 2025-09-04 16:48:07,208: +SUB [/rosout] /rosout http://10.237.54.207:41751/
[rosmaster.master][INFO] 2025-09-04 16:48:14,078: +PARAM [/roslaunch/uris/host_10_237_54_207__35919] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,090: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,091: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,091: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,091: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,091: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,092: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,092: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,092: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,092: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,092: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,093: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,093: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,093: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,093: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,093: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,094: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,094: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,094: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,094: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,094: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,095: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,095: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,095: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:48:14,468: +PUB [/rosout] /JOYSTICK http://10.237.54.207:45543/
[rosmaster.master][INFO] 2025-09-04 16:48:14,469: publisherUpdate[/rosout] -> http://10.237.54.207:41751/ ['http://10.237.54.207:45543/']
[rosmaster.master][INFO] 2025-09-04 16:48:14,480: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.237.54.207:45543/
[rosmaster.master][INFO] 2025-09-04 16:48:14,487: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.237.54.207:45543/
[rosmaster.master][INFO] 2025-09-04 16:48:14,491: publisherUpdate[/rosout] -> http://10.237.54.207:41751/ ['http://10.237.54.207:45543/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 16:48:14,493: +PUB [/diagnostics] /JOYSTICK http://10.237.54.207:45543/
[rosmaster.master][INFO] 2025-09-04 16:48:14,497: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-04 16:48:14,504: +PUB [/joy] /JOYSTICK http://10.237.54.207:45543/
[rosmaster.master][INFO] 2025-09-04 16:48:14,533: +SUB [/joy/set_feedback] /JOYSTICK http://10.237.54.207:45543/
[rosmaster.master][INFO] 2025-09-04 16:48:14,609: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-04 16:48:15,905: +PUB [/rosout] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,914: +SERVICE [/kelpie/get_loggers] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,917: +SERVICE [/kelpie/set_logger_level] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,924: +SUB [/kelpie/imu] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,930: +SUB [/kelpie/leg_control/currents] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,936: +SUB [/kelpie/battery/voltage] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,940: +PUB [/kelpie/leg_control/joint_states] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,947: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,950: +PUB [/rosout] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:15,961: +SUB [/kelpie/command_input] /kelpie http://10.237.54.207:40209/
[rosmaster.master][INFO] 2025-09-04 16:48:15,965: +SERVICE [/rosapi/get_loggers] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:15,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,968: +SERVICE [/rosapi/set_logger_level] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:15,971: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,976: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,980: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,983: +SERVICE [/rosapi/topics] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:15,984: publisherUpdate[/rosout] -> http://10.237.54.207:41751/ ['http://10.237.54.207:45543/', 'http://10.237.54.207:40209/']
[rosmaster.master][INFO] 2025-09-04 16:48:15,985: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,988: +SERVICE [/rosapi/topics_for_type] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:15,991: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,994: +SERVICE [/rosapi/services] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:15,995: publisherUpdate[/rosout] -> http://10.237.54.207:41751/ ['http://10.237.54.207:45543/', 'http://10.237.54.207:40209/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 16:48:15,998: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:15,998: publisherUpdate[/rosout] -> http://10.237.54.207:41751/ ['http://10.237.54.207:45543/', 'http://10.237.54.207:40209/', 'http://10.237.54.207:41887/']
[rosmaster.master][INFO] 2025-09-04 16:48:16,005: +SERVICE [/rosapi/services_for_type] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,007: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,008: publisherUpdate[/rosout] -> http://10.237.54.207:41751/ ['http://10.237.54.207:45543/', 'http://10.237.54.207:40209/', 'http://10.237.54.207:41887/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 16:48:16,011: +SERVICE [/rosapi/nodes] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,015: +SERVICE [/rosapi/node_details] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,017: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,020: +SERVICE [/rosapi/action_servers] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,024: +SERVICE [/rosapi/topic_type] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,025: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,028: +SERVICE [/rosapi/service_type] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,032: +SERVICE [/rosapi/publishers] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,033: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,036: +SERVICE [/rosapi/subscribers] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,040: +SERVICE [/rosapi/service_providers] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,041: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,045: +SERVICE [/rosapi/service_node] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,047: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,050: +SERVICE [/rosapi/service_host] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,052: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,054: +SERVICE [/rosapi/message_details] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,059: +SERVICE [/rosapi/service_request_details] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,060: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,063: +SERVICE [/rosapi/service_response_details] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,067: +SERVICE [/rosapi/set_param] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,068: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,071: +SERVICE [/rosapi/get_param] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,073: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,075: +SERVICE [/rosapi/has_param] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,079: +SERVICE [/rosapi/search_param] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,081: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,083: +SERVICE [/rosapi/delete_param] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,087: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,087: +SERVICE [/rosapi/get_param_names] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,091: +SERVICE [/rosapi/get_time] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,093: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,095: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://10.237.54.207:41887/
[rosmaster.master][INFO] 2025-09-04 16:48:16,099: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-09-04 16:48:16,100: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,106: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,114: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 16:48:16,115: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-09-04 16:48:16,120: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
