[rosmaster.main][INFO] 2025-08-13 17:50:02,467: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:50:02,467: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:50:02,469: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:50:02,469: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:50:02,470: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:50:02,470: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:50:02,587: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,590: +PARAM [/roslaunch/uris/host_localhost__39581] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,726: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,726: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,726: +PARAM [/right_cam/right_cam_stream/camera_name] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,726: +PARAM [/right_cam/right_cam_stream/video_stream_provider] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,727: +PARAM [/right_cam/right_cam_stream/set_camera_fps] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,727: +PARAM [/right_cam/right_cam_stream/buffer_queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,727: +PARAM [/right_cam/right_cam_stream/fps] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,727: +PARAM [/right_cam/right_cam_stream/frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,728: +PARAM [/right_cam/right_cam_stream/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,728: +PARAM [/right_cam/right_cam_stream/flip_horizontal] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,728: +PARAM [/right_cam/right_cam_stream/flip_vertical] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,728: +PARAM [/right_cam/right_cam_stream/loop_videofile] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,729: +PARAM [/right_cam/right_cam_stream/start_frame] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,729: +PARAM [/right_cam/right_cam_stream/stop_frame] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,729: +PARAM [/right_cam/right_cam_stream/width] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,729: +PARAM [/right_cam/right_cam_stream/height] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:50:02,737: +SERVICE [/rosout/get_loggers] /rosout http://localhost:45941/
[rosmaster.master][INFO] 2025-08-13 17:50:02,740: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:45941/
[rosmaster.master][INFO] 2025-08-13 17:50:02,746: +PUB [/rosout_agg] /rosout http://localhost:45941/
[rosmaster.master][INFO] 2025-08-13 17:50:02,758: +SUB [/rosout] /rosout http://localhost:45941/
[rosmaster.master][INFO] 2025-08-13 17:50:03,025: +PUB [/rosout] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:03,026: +PUB [/rosout] /right_cam/right_cam_stream http://localhost:36225/
[rosmaster.master][INFO] 2025-08-13 17:50:03,028: +SERVICE [/right_cam/right_cam_image_view/get_loggers] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:03,029: +SERVICE [/right_cam/right_cam_stream/get_loggers] /right_cam/right_cam_stream http://localhost:36225/
[rosmaster.master][INFO] 2025-08-13 17:50:03,031: +SERVICE [/right_cam/right_cam_image_view/set_logger_level] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:03,032: +SERVICE [/right_cam/right_cam_stream/set_logger_level] /right_cam/right_cam_stream http://localhost:36225/
[rosmaster.master][INFO] 2025-08-13 17:50:03,037: +CACHEDPARAM [/rosout_disable_topics_generation] by /right_cam/right_cam_image_view
[rosmaster.master][INFO] 2025-08-13 17:50:03,038: +CACHEDPARAM [/rosout_disable_topics_generation] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:50:03,042: +SERVICE [/right_cam/right_cam_image_view/load_nodelet] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:03,043: +SERVICE [/right_cam/right_cam_stream/load_nodelet] /right_cam/right_cam_stream http://localhost:36225/
[rosmaster.master][INFO] 2025-08-13 17:50:03,045: +SERVICE [/right_cam/right_cam_image_view/unload_nodelet] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:03,046: +SERVICE [/right_cam/right_cam_stream/unload_nodelet] /right_cam/right_cam_stream http://localhost:36225/
[rosmaster.master][INFO] 2025-08-13 17:50:03,048: +SERVICE [/right_cam/right_cam_image_view/list] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:03,049: +SERVICE [/right_cam/right_cam_stream/list] /right_cam/right_cam_stream http://localhost:36225/
[rosmaster.master][INFO] 2025-08-13 17:50:03,069: publisherUpdate[/rosout] -> http://localhost:45941/ ['http://localhost:44909/']
[rosmaster.master][INFO] 2025-08-13 17:50:03,085: publisherUpdate[/rosout] -> http://localhost:45941/ ['http://localhost:44909/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:50:03,085: publisherUpdate[/rosout] -> http://localhost:45941/ ['http://localhost:44909/', 'http://localhost:36225/']
[rosmaster.master][INFO] 2025-08-13 17:50:03,087: publisherUpdate[/rosout] -> http://localhost:45941/ ['http://localhost:44909/', 'http://localhost:36225/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:50:04,787: +SERVICE [/right_cam/right_cam_image_view/set_parameters] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:04,790: +PUB [/right_cam/right_cam_image_view/parameter_descriptions] /right_cam/right_cam_image_view http://localhost:44909/
[rosmaster.master][INFO] 2025-08-13 17:50:04,794: +PUB [/right_cam/right_cam_image_view/parameter_updates] /right_cam/right_cam_image_view http://localhost:44909/
