[rosmaster.main][INFO] 2025-08-13 16:24:16,793: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 16:24:16,793: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 16:24:16,795: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 16:24:16,795: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 16:24:16,796: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 16:24:16,796: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 16:24:16,824: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,827: +PARAM [/roslaunch/uris/host_localhost__33687] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,935: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,935: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,935: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,936: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,936: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,936: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,936: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,937: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,937: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,937: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,937: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,938: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,938: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,938: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,938: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,939: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,940: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,941: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,941: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,941: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,942: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 16:24:16,943: +SERVICE [/rosout/get_loggers] /rosout http://localhost:40529/
[rosmaster.master][INFO] 2025-08-13 16:24:16,945: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:40529/
[rosmaster.master][INFO] 2025-08-13 16:24:16,951: +PUB [/rosout_agg] /rosout http://localhost:40529/
