[rosmaster.main][INFO] 2025-08-13 15:48:38,441: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 15:48:38,442: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 15:48:38,449: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 15:48:38,450: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 15:48:38,451: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 15:48:38,451: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 15:48:38,478: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,481: +PARAM [/roslaunch/uris/host_localhost__37363] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,637: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,638: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,638: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,638: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,638: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,639: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,639: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,639: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,639: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,639: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,640: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,640: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,640: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,640: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,641: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,641: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,641: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,641: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,642: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,642: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,642: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,642: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,643: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 15:48:38,854: +SERVICE [/rosout/get_loggers] /rosout http://localhost:45547/
[rosmaster.master][INFO] 2025-08-13 15:48:38,856: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:45547/
