[rosmaster.main][INFO] 2025-08-14 17:27:42,649: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 17:27:42,649: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 17:27:42,651: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-14 17:27:42,652: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-14 17:27:42,652: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-14 17:27:42,652: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 17:27:42,760: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:27:42,764: +PARAM [/roslaunch/uris/host_10_176_33_207__33839] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:27:42,896: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:27:42,897: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:27:42,907: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:42815/
[rosmaster.master][INFO] 2025-08-14 17:27:42,909: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:42815/
[rosmaster.master][INFO] 2025-08-14 17:27:42,911: +PUB [/rosout_agg] /rosout http://10.176.33.207:42815/
[rosmaster.master][INFO] 2025-08-14 17:27:42,917: +SUB [/rosout] /rosout http://10.176.33.207:42815/
[rosmaster.master][INFO] 2025-08-14 17:28:06,544: -PUB [/rosout_agg] /rosout http://10.176.33.207:42815/
[rosmaster.master][INFO] 2025-08-14 17:28:06,545: -SUB [/rosout] /rosout http://10.176.33.207:42815/
[rosmaster.master][INFO] 2025-08-14 17:28:06,547: -SERVICE [/rosout/get_loggers] /rosout rosrpc://10.176.33.207:54999
[rosmaster.master][INFO] 2025-08-14 17:28:06,548: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://10.176.33.207:54999
[rosmaster.main][INFO] 2025-08-14 17:28:06,588: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-08-14 17:28:06,588: stopping master...
[rospy.core][INFO] 2025-08-14 17:28:06,589: signal_shutdown [atexit]
