[rosmaster.main][INFO] 2025-08-19 11:24:06,186: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 11:24:06,187: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 11:24:06,189: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-19 11:24:06,189: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-19 11:24:06,190: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-19 11:24:06,190: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 11:24:06,307: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:24:06,311: +PARAM [/roslaunch/uris/host_localhost__36815] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:24:06,531: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:24:06,532: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:24:06,547: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44989/
[rosmaster.master][INFO] 2025-08-19 11:24:06,549: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44989/
[rosmaster.master][INFO] 2025-08-19 11:24:06,552: +PUB [/rosout_agg] /rosout http://localhost:44989/
[rosmaster.master][INFO] 2025-08-19 11:24:06,563: +SUB [/rosout] /rosout http://localhost:44989/
[rosmaster.master][INFO] 2025-08-19 11:39:05,659: +PARAM [/roslaunch/uris/host_localhost__38481] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,672: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,673: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,673: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,673: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,674: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,674: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,674: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,674: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,675: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,675: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,675: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,675: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,676: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,676: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,676: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,676: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,677: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,677: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,677: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,677: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,678: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,678: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:05,678: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 11:39:06,151: +PUB [/rosout] /JOYSTICK http://localhost:39489/
[rosmaster.master][INFO] 2025-08-19 11:39:06,153: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:39489/
[rosmaster.master][INFO] 2025-08-19 11:39:06,157: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:39489/
[rosmaster.master][INFO] 2025-08-19 11:39:06,158: publisherUpdate[/rosout] -> http://localhost:44989/ ['http://localhost:39489/']
[rosmaster.master][INFO] 2025-08-19 11:39:06,165: +PUB [/diagnostics] /JOYSTICK http://localhost:39489/
[rosmaster.master][INFO] 2025-08-19 11:39:06,172: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 11:39:06,176: +PUB [/joy] /JOYSTICK http://localhost:39489/
[rosmaster.master][INFO] 2025-08-19 11:39:06,180: publisherUpdate[/rosout] -> http://localhost:44989/ ['http://localhost:39489/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 11:39:06,201: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:39489/
[rosmaster.master][INFO] 2025-08-19 11:39:06,290: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 11:39:07,713: +PUB [/rosout] /rosapi http://localhost:40639/
[rosmaster.master][INFO] 2025-08-19 11:39:07,721: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:40639/
[rosmaster.master][INFO] 2025-08-19 11:39:07,725: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:40639/
[rosmaster.master][INFO] 2025-08-19 11:39:07,734: +PUB [/rosout] /kelpie http://localhost:33347/
[rosmaster.master][INFO] 2025-08-19 11:39:07,747: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:33347/
[rosmaster.master][INFO] 2025-08-19 11:39:07,748: +SERVICE [/rosapi/topics] /rosapi http://localhost:40639/
[rosmaster.master][INFO] 2025-08-19 11:39:07,750: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:33347/
[rosmaster.master][INFO] 2025-08-19 11:39:07,751: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:40639/
[rosmaster.master][INFO] 2025-08-19 11:39:07,755: +SERVICE [/rosapi/services] /rosapi http://localhost:40639/
[rosmaster.master][INFO] 2025-08-19 11:39:07,757: +SUB [/kelpie/imu] /kelpie http://localhost:33347/
