[rosmaster.main][INFO] 2025-09-09 14:19:58,627: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-09 14:19:58,627: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-09 14:19:58,629: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-09 14:19:58,630: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-09 14:19:58,630: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-09 14:19:58,630: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-09 14:19:58,749: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:19:58,752: +PARAM [/roslaunch/uris/host_10_237_54_207__42987] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:19:58,902: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:19:58,902: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:19:59,083: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:40733/
[rosmaster.master][INFO] 2025-09-09 14:19:59,085: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:40733/
[rosmaster.master][INFO] 2025-09-09 14:19:59,090: +PUB [/rosout_agg] /rosout http://10.237.54.207:40733/
[rosmaster.master][INFO] 2025-09-09 14:19:59,097: +SUB [/rosout] /rosout http://10.237.54.207:40733/
[rosmaster.master][INFO] 2025-09-09 14:20:04,433: +PARAM [/roslaunch/uris/host_10_237_54_207__42341] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:20:04,445: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:20:04,445: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 14:20:04,445: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
