[rosmaster.main][INFO] 2025-09-04 17:03:28,226: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-04 17:03:28,227: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-04 17:03:28,228: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-04 17:03:28,229: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-04 17:03:28,230: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-04 17:03:28,230: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-04 17:03:28,337: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:03:28,340: +PARAM [/roslaunch/uris/host_10_237_54_207__42181] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:03:28,476: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:03:28,476: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:03:28,487: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:42051/
[rosmaster.master][INFO] 2025-09-04 17:03:28,488: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:42051/
[rosmaster.master][INFO] 2025-09-04 17:03:28,491: +PUB [/rosout_agg] /rosout http://10.237.54.207:42051/
[rosmaster.master][INFO] 2025-09-04 17:03:28,497: +SUB [/rosout] /rosout http://10.237.54.207:42051/
[rosmaster.master][INFO] 2025-09-04 17:05:12,539: +PARAM [/roslaunch/uris/host_10_237_54_207__44609] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,551: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,551: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,552: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,552: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,552: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,552: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,552: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,553: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,553: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,553: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,553: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,553: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 17:05:12,554: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
