[rosmaster.main][INFO] 2025-08-19 14:45:06,129: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 14:45:06,130: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 14:45:06,131: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 14:45:06,132: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 14:45:06,133: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 14:45:06,133: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 14:45:06,160: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:45:06,163: +PARAM [/roslaunch/uris/host_10_176_33_207__42925] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:45:06,310: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:45:06,311: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:45:06,319: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:38109/
[rosmaster.master][INFO] 2025-08-19 14:45:06,321: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:38109/
[rosmaster.master][INFO] 2025-08-19 14:45:06,324: +PUB [/rosout_agg] /rosout http://10.176.33.207:38109/
[rosmaster.master][INFO] 2025-08-19 14:45:06,331: +SUB [/rosout] /rosout http://10.176.33.207:38109/
[rosmaster.master][INFO] 2025-08-19 14:45:16,862: -SUB [/kelpie/leg_control/joint_states] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,863: -SUB [/joy] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,863: -PUB [/kelpie/leg_control/currents] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,864: -PUB [/kelpie/battery/voltage] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,864: -PUB [/kelpie/imu] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,864: -PUB [/rosout] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,865: -PUB [/kelpie/command_input] /hardware http://localhost:46755/
[rosmaster.master][INFO] 2025-08-19 14:45:16,865: -SERVICE [/hardware/get_loggers] /hardware rosrpc://localhost:37293
[rosmaster.master][INFO] 2025-08-19 14:45:16,865: -SERVICE [/hardware/set_logger_level] /hardware rosrpc://localhost:37293
[rosmaster.master][INFO] 2025-08-19 14:45:16,877: -PUB [/rosout] /rosapi http://localhost:43285/
[rosmaster.master][INFO] 2025-08-19 14:45:16,877: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:43321
[rosmaster.master][INFO] 2025-08-19 14:45:16,878: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:43321
[rosmaster.master][INFO] 2025-08-19 14:45:16,880: -SUB [/kelpie/imu] /kelpie http://localhost:45501/
[rosmaster.master][INFO] 2025-08-19 14:45:16,880: -SERVICE [/rosapi/topics] /rosapi rosrpc://localhost:43321
[rosmaster.master][INFO] 2025-08-19 14:45:16,880: -SUB [/kelpie/leg_control/currents] /kelpie http://localhost:45501/
[rosmaster.master][INFO] 2025-08-19 14:45:16,881: -SERVICE [/rosapi/topics_for_type] /rosapi rosrpc://localhost:43321
[rosmaster.master][INFO] 2025-08-19 14:45:16,881: -SUB [/kelpie/battery/voltage] /kelpie http://localhost:45501/
