[rosmaster.main][INFO] 2025-08-13 17:36:53,970: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:36:53,970: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:36:53,972: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:36:53,972: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:36:53,973: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:36:53,973: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:36:54,092: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,095: +PARAM [/roslaunch/uris/host_localhost__33501] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,232: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,232: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,233: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,233: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,233: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,233: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,234: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,234: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,234: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,234: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,235: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,235: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,235: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,235: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,236: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,236: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,236: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,236: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,236: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,237: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,238: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:36:54,242: +SERVICE [/rosout/get_loggers] /rosout http://localhost:32891/
[rosmaster.master][INFO] 2025-08-13 17:36:54,245: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:32891/
[rosmaster.master][INFO] 2025-08-13 17:36:54,251: +PUB [/rosout_agg] /rosout http://localhost:32891/
[rosmaster.master][INFO] 2025-08-13 17:36:54,263: +SUB [/rosout] /rosout http://localhost:32891/
[rosmaster.master][INFO] 2025-08-13 17:36:56,228: +PUB [/rosout] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,239: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,242: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,256: +SERVICE [/rosapi/topics] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,260: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,264: +SERVICE [/rosapi/services] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,268: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,272: +SERVICE [/rosapi/nodes] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,275: +SERVICE [/rosapi/node_details] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,276: publisherUpdate[/rosout] -> http://localhost:32891/ ['http://localhost:35575/']
[rosmaster.master][INFO] 2025-08-13 17:36:56,280: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,289: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,291: publisherUpdate[/rosout] -> http://localhost:32891/ ['http://localhost:35575/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:36:56,294: +SERVICE [/rosapi/service_type] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,298: +SERVICE [/rosapi/publishers] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,302: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,305: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,308: +SERVICE [/rosapi/service_node] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,312: +SERVICE [/rosapi/service_host] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,315: +SERVICE [/rosapi/message_details] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,318: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,322: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,325: +SERVICE [/rosapi/set_param] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,328: +SERVICE [/rosapi/get_param] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,333: +SERVICE [/rosapi/has_param] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,336: +SERVICE [/rosapi/search_param] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,340: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,343: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,346: +SERVICE [/rosapi/get_time] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,349: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:35575/
[rosmaster.master][INFO] 2025-08-13 17:36:56,353: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-13 17:36:56,369: +PUB [/rosout] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,379: publisherUpdate[/rosout] -> http://localhost:32891/ ['http://localhost:35575/', 'http://localhost:42429/']
[rosmaster.master][INFO] 2025-08-13 17:36:56,380: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,393: publisherUpdate[/rosout] -> http://localhost:32891/ ['http://localhost:35575/', 'http://localhost:42429/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:36:56,396: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,409: +SUB [/kelpie/imu] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,420: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,431: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,436: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,443: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,450: +SUB [/kelpie/command_input] /kelpie http://localhost:42429/
[rosmaster.master][INFO] 2025-08-13 17:36:56,454: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,458: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,462: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,466: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,470: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,474: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,478: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,482: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:36:56,500: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-13 17:36:56,919: +PUB [/kelpie/leg_control/currents] /hardware http://localhost:45711/
[rosmaster.master][INFO] 2025-08-13 17:36:56,922: +PUB [/kelpie/battery/voltage] /hardware http://localhost:45711/
[rosmaster.master][INFO] 2025-08-13 17:36:56,925: +PUB [/kelpie/imu] /hardware http://localhost:45711/
[rosmaster.master][INFO] 2025-08-13 17:36:56,981: publisherUpdate[/kelpie/leg_control/currents] -> http://localhost:42429/ ['http://localhost:45711/']
[rosmaster.master][INFO] 2025-08-13 17:36:57,000: +PUB [/rosout] /hardware http://localhost:45711/
[rosmaster.master][INFO] 2025-08-13 17:36:57,007: +SERVICE [/hardware/get_loggers] /hardware http://localhost:45711/
[rosmaster.master][INFO] 2025-08-13 17:36:57,010: +SERVICE [/hardware/set_logger_level] /hardware http://localhost:45711/
[rosmaster.master][INFO] 2025-08-13 17:36:57,012: publisherUpdate[/kelpie/leg_control/currents] -> http://localhost:42429/ ['http://localhost:45711/']: sec=0.03, result=[1, '', 0]
