[rosmaster.main][INFO] 2025-09-09 15:24:50,267: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-09 15:24:50,268: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-09 15:24:50,269: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-09 15:24:50,270: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-09 15:24:50,270: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-09 15:24:50,271: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-09 15:24:50,383: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:24:50,387: +PARAM [/roslaunch/uris/host_10_237_54_207__38093] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:24:50,536: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:24:50,536: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:24:50,718: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:37287/
[rosmaster.master][INFO] 2025-09-09 15:24:50,719: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:37287/
[rosmaster.master][INFO] 2025-09-09 15:24:50,723: +PUB [/rosout_agg] /rosout http://10.237.54.207:37287/
[rosmaster.master][INFO] 2025-09-09 15:24:50,730: +SUB [/rosout] /rosout http://10.237.54.207:37287/
[rosmaster.master][INFO] 2025-09-09 15:26:18,419: +PARAM [/roslaunch/uris/host_10_237_54_207__36001] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,431: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,431: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,431: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,432: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,432: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,432: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,432: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,433: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,433: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,433: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,433: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,434: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,434: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,434: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,434: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,434: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,435: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,435: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,435: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,435: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,435: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,436: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,436: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-09 15:26:18,888: +PUB [/rosout] /JOYSTICK http://10.237.54.207:38785/
[rosmaster.master][INFO] 2025-09-09 15:26:18,893: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.237.54.207:38785/
[rosmaster.master][INFO] 2025-09-09 15:26:18,899: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.237.54.207:38785/
[rosmaster.master][INFO] 2025-09-09 15:26:18,910: +PUB [/diagnostics] /JOYSTICK http://10.237.54.207:38785/
[rosmaster.master][INFO] 2025-09-09 15:26:18,912: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-09 15:26:18,916: +PUB [/joy] /JOYSTICK http://10.237.54.207:38785/
[rosmaster.master][INFO] 2025-09-09 15:26:18,927: publisherUpdate[/rosout] -> http://10.237.54.207:37287/ ['http://10.237.54.207:38785/']
[rosmaster.master][INFO] 2025-09-09 15:26:18,939: +SUB [/joy/set_feedback] /JOYSTICK http://10.237.54.207:38785/
