[rosmaster.main][INFO] 2025-08-11 12:53:06,722: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 12:53:06,723: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 12:53:06,724: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 12:53:06,725: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 12:53:06,726: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 12:53:06,726: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 12:53:06,747: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,750: +PARAM [/roslaunch/uris/host_localhost__46291] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,884: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,884: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,885: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,885: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,885: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,885: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,886: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,886: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,886: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,886: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,886: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,887: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,887: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,887: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,887: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:53:06,888: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
