[rosmaster.main][INFO] 2025-09-03 16:29:14,240: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-03 16:29:14,240: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-03 16:29:14,242: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-03 16:29:14,242: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-03 16:29:14,243: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-03 16:29:14,243: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-03 16:29:14,359: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:14,363: +PARAM [/roslaunch/uris/host_10_237_54_207__38737] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:14,513: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:14,513: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:14,691: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:43699/
[rosmaster.master][INFO] 2025-09-03 16:29:14,693: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:43699/
[rosmaster.master][INFO] 2025-09-03 16:29:14,696: +PUB [/rosout_agg] /rosout http://10.237.54.207:43699/
[rosmaster.master][INFO] 2025-09-03 16:29:14,704: +SUB [/rosout] /rosout http://10.237.54.207:43699/
[rosmaster.master][INFO] 2025-09-03 16:29:27,188: +PARAM [/roslaunch/uris/host_10_237_54_207__35019] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,200: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,200: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,201: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,201: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,201: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,201: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,201: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,202: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-03 16:29:27,202: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
