[rosmaster.main][INFO] 2025-08-28 16:36:24,867: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-28 16:36:24,868: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-28 16:36:24,869: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-28 16:36:24,870: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-28 16:36:24,870: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-28 16:36:24,870: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-28 16:36:24,985: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:24,988: +PARAM [/roslaunch/uris/host_10_176_33_207__45905] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:25,135: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:25,136: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:25,313: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:44067/
[rosmaster.master][INFO] 2025-08-28 16:36:25,315: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:44067/
[rosmaster.master][INFO] 2025-08-28 16:36:25,319: +PUB [/rosout_agg] /rosout http://10.176.33.207:44067/
[rosmaster.master][INFO] 2025-08-28 16:36:25,326: +SUB [/rosout] /rosout http://10.176.33.207:44067/
[rosmaster.master][INFO] 2025-08-28 16:36:39,108: +PARAM [/roslaunch/uris/host_10_176_33_207__37801] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,121: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,121: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,121: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,121: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,122: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,122: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,122: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,122: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,122: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,123: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,123: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,123: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,123: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,124: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,124: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,124: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,124: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,124: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,125: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,125: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,125: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,125: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,125: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-28 16:36:39,560: +PUB [/rosout] /JOYSTICK http://10.176.33.207:36469/
[rosmaster.master][INFO] 2025-08-28 16:36:39,562: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.176.33.207:36469/
[rosmaster.master][INFO] 2025-08-28 16:36:39,564: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.176.33.207:36469/
[rosmaster.master][INFO] 2025-08-28 16:36:39,568: +PUB [/diagnostics] /JOYSTICK http://10.176.33.207:36469/
