[rosmaster.main][INFO] 2025-08-20 17:28:56,873: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-20 17:28:56,873: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-20 17:28:56,874: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-20 17:28:56,875: Started XML-RPC server [http://kelpie2:11311/]
[rosmaster.master][INFO] 2025-08-20 17:28:56,876: Master initialized: port[11311], uri[http://kelpie2:11311/]
[xmlrpc][INFO] 2025-08-20 17:28:56,876: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-20 17:28:56,984: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:28:56,987: +PARAM [/roslaunch/uris/host_kelpie2__46311] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:28:57,136: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:28:57,137: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:28:57,317: +SERVICE [/rosout/get_loggers] /rosout http://kelpie2:36175/
[rosmaster.master][INFO] 2025-08-20 17:28:57,319: +SERVICE [/rosout/set_logger_level] /rosout http://kelpie2:36175/
[rosmaster.master][INFO] 2025-08-20 17:28:57,323: +PUB [/rosout_agg] /rosout http://kelpie2:36175/
[rosmaster.master][INFO] 2025-08-20 17:28:57,331: +SUB [/rosout] /rosout http://kelpie2:36175/
[rosmaster.master][INFO] 2025-08-20 17:29:36,702: +PARAM [/roslaunch/uris/host_kelpie2__38303] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,714: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,714: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,715: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,715: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,715: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,715: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,715: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,716: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,716: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,716: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,716: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,717: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,717: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,717: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,717: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,717: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,718: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,718: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,718: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,718: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,719: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,719: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:36,719: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 17:29:37,150: +PUB [/rosout] /JOYSTICK http://kelpie2:37151/
[rosmaster.master][INFO] 2025-08-20 17:29:37,151: publisherUpdate[/rosout] -> http://kelpie2:36175/ ['http://kelpie2:37151/']
[rosmaster.master][INFO] 2025-08-20 17:29:37,155: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://kelpie2:37151/
[rosmaster.master][INFO] 2025-08-20 17:29:37,157: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://kelpie2:37151/
[rosmaster.master][INFO] 2025-08-20 17:29:37,167: +PUB [/diagnostics] /JOYSTICK http://kelpie2:37151/
[rosmaster.master][INFO] 2025-08-20 17:29:37,170: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-20 17:29:37,174: publisherUpdate[/rosout] -> http://kelpie2:36175/ ['http://kelpie2:37151/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-20 17:29:37,179: +PUB [/joy] /JOYSTICK http://kelpie2:37151/
[rosmaster.master][INFO] 2025-08-20 17:29:37,200: +SUB [/joy/set_feedback] /JOYSTICK http://kelpie2:37151/
[rosmaster.master][INFO] 2025-08-20 17:29:37,241: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-20 17:29:38,697: +PUB [/rosout] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,704: +SERVICE [/rosapi/get_loggers] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,708: +SERVICE [/rosapi/set_logger_level] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,719: +SERVICE [/rosapi/topics] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,722: +SERVICE [/rosapi/topics_for_type] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,726: +SERVICE [/rosapi/services] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,729: +SERVICE [/rosapi/services_for_type] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,733: +SERVICE [/rosapi/nodes] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,736: +SERVICE [/rosapi/node_details] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,739: +SERVICE [/rosapi/action_servers] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,742: +SERVICE [/rosapi/topic_type] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,746: +SERVICE [/rosapi/service_type] /rosapi http://kelpie2:35659/
[rosmaster.master][INFO] 2025-08-20 17:29:38,749: +SERVICE [/rosapi/publishers] /rosapi http://kelpie2:35659/
