[rosmaster.main][INFO] 2025-08-11 11:48:56,777: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 11:48:56,777: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 11:48:56,779: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 11:48:56,780: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 11:48:56,780: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 11:48:56,780: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 11:48:56,807: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,810: +PARAM [/roslaunch/uris/host_localhost__34389] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,928: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,929: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,929: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,929: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,930: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,930: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,930: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,930: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,931: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,931: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,931: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,932: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,932: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,932: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,932: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,933: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,933: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,933: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,933: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,934: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:56,934: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:48:57,111: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43785/
[rosmaster.master][INFO] 2025-08-11 11:48:57,113: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43785/
[rosmaster.master][INFO] 2025-08-11 11:48:57,117: +PUB [/rosout_agg] /rosout http://localhost:43785/
[rosmaster.master][INFO] 2025-08-11 11:48:57,128: +SUB [/rosout] /rosout http://localhost:43785/
[rosmaster.master][INFO] 2025-08-11 11:48:58,306: +PUB [/rosout] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,313: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,316: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,325: +SERVICE [/rosapi/topics] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,328: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,331: +SERVICE [/rosapi/services] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,334: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,337: +SERVICE [/rosapi/nodes] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,340: +SERVICE [/rosapi/node_details] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,343: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,346: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,349: +SERVICE [/rosapi/service_type] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,352: +SERVICE [/rosapi/publishers] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,355: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,358: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,362: +SERVICE [/rosapi/service_node] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,365: +SERVICE [/rosapi/service_host] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,368: +SERVICE [/rosapi/message_details] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,371: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,374: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,378: +SERVICE [/rosapi/set_param] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,381: +SERVICE [/rosapi/get_param] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,382: publisherUpdate[/rosout] -> http://localhost:43785/ ['http://localhost:37125/']
[rosmaster.master][INFO] 2025-08-11 11:48:58,386: +SERVICE [/rosapi/has_param] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,392: +SERVICE [/rosapi/search_param] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,396: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,397: publisherUpdate[/rosout] -> http://localhost:43785/ ['http://localhost:37125/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 11:48:58,400: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,403: +SERVICE [/rosapi/get_time] /rosapi http://localhost:37125/
[rosmaster.master][INFO] 2025-08-11 11:48:58,406: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:37125/
