[rosmaster.main][INFO] 2025-09-16 10:59:10,520: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-16 10:59:10,520: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-16 10:59:10,522: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-16 10:59:10,523: Started XML-RPC server [http://172.19.19.207:11311/]
[rosmaster.master][INFO] 2025-09-16 10:59:10,523: Master initialized: port[11311], uri[http://172.19.19.207:11311/]
[xmlrpc][INFO] 2025-09-16 10:59:10,523: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-16 10:59:10,632: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 10:59:10,635: +PARAM [/roslaunch/uris/host_172_19_19_207__38933] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 10:59:10,784: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 10:59:10,785: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 10:59:10,965: +SERVICE [/rosout/get_loggers] /rosout http://172.19.19.207:43177/
[rosmaster.master][INFO] 2025-09-16 10:59:10,967: +SERVICE [/rosout/set_logger_level] /rosout http://172.19.19.207:43177/
[rosmaster.master][INFO] 2025-09-16 10:59:10,971: +PUB [/rosout_agg] /rosout http://172.19.19.207:43177/
[rosmaster.master][INFO] 2025-09-16 10:59:10,980: +SUB [/rosout] /rosout http://172.19.19.207:43177/
[rosmaster.master][INFO] 2025-09-16 11:06:32,483: +PARAM [/roslaunch/uris/host_172_19_19_207__40703] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,495: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,496: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,496: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,496: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,497: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,497: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,497: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,497: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,497: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,498: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,498: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,498: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,498: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,499: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,499: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,499: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,499: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,500: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,500: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,500: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,500: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,500: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,501: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:06:32,944: +PUB [/rosout] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:06:32,948: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:06:32,951: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:06:32,954: publisherUpdate[/rosout] -> http://172.19.19.207:43177/ ['http://172.19.19.207:42227/']
[rosmaster.master][INFO] 2025-09-16 11:06:32,960: +PUB [/diagnostics] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:06:32,976: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 11:06:32,979: publisherUpdate[/rosout] -> http://172.19.19.207:43177/ ['http://172.19.19.207:42227/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-16 11:06:32,981: +PUB [/joy] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:06:33,000: +SUB [/joy/set_feedback] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:06:33,039: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 11:06:34,439: +PUB [/rosout] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,446: +SERVICE [/rosapi/get_loggers] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,449: +SERVICE [/rosapi/set_logger_level] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,458: publisherUpdate[/rosout] -> http://172.19.19.207:43177/ ['http://172.19.19.207:42227/', 'http://172.19.19.207:35869/']
[rosmaster.master][INFO] 2025-09-16 11:06:34,461: +SERVICE [/rosapi/topics] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,462: publisherUpdate[/rosout] -> http://172.19.19.207:43177/ ['http://172.19.19.207:42227/', 'http://172.19.19.207:35869/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-16 11:06:34,465: +SERVICE [/rosapi/topics_for_type] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,468: +SERVICE [/rosapi/services] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,471: +SERVICE [/rosapi/services_for_type] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,474: +SERVICE [/rosapi/nodes] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,477: +SERVICE [/rosapi/node_details] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,486: +SERVICE [/rosapi/action_servers] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,489: +SERVICE [/rosapi/topic_type] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,492: +SERVICE [/rosapi/service_type] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,495: +SERVICE [/rosapi/publishers] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,498: +SERVICE [/rosapi/subscribers] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,500: +SERVICE [/rosapi/service_providers] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,503: +SERVICE [/rosapi/service_node] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,506: +SERVICE [/rosapi/service_host] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,509: +SERVICE [/rosapi/message_details] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,512: +SERVICE [/rosapi/service_request_details] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,515: +SERVICE [/rosapi/service_response_details] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,519: +SERVICE [/rosapi/set_param] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,523: +SERVICE [/rosapi/get_param] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,528: +SERVICE [/rosapi/has_param] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,530: +PUB [/rosout] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:06:34,532: +SERVICE [/rosapi/search_param] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,537: +SERVICE [/rosapi/delete_param] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:06:34,541: +SERVICE [/rosapi/get_param_names] /rosapi http://172.19.19.207:35869/
