[rosmaster.main][INFO] 2025-09-02 13:46:22,946: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-02 13:46:22,946: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-02 13:46:22,948: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-02 13:46:22,949: Started XML-RPC server [http://10.177.130.207:11311/]
[rosmaster.master][INFO] 2025-09-02 13:46:22,949: Master initialized: port[11311], uri[http://10.177.130.207:11311/]
[xmlrpc][INFO] 2025-09-02 13:46:22,949: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-02 13:46:23,058: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:46:23,061: +PARAM [/roslaunch/uris/host_10_177_130_207__39331] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:46:23,206: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:46:23,206: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:46:23,384: +SERVICE [/rosout/get_loggers] /rosout http://10.177.130.207:42919/
[rosmaster.master][INFO] 2025-09-02 13:46:23,386: +SERVICE [/rosout/set_logger_level] /rosout http://10.177.130.207:42919/
[rosmaster.master][INFO] 2025-09-02 13:46:23,391: +PUB [/rosout_agg] /rosout http://10.177.130.207:42919/
[rosmaster.master][INFO] 2025-09-02 13:46:23,398: +SUB [/rosout] /rosout http://10.177.130.207:42919/
[rosmaster.master][INFO] 2025-09-02 13:47:15,314: +PARAM [/roslaunch/uris/host_10_177_130_207__33357] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,326: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,327: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,327: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,327: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,327: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,327: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,328: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,328: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,328: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,329: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,329: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,329: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,329: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,329: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,330: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,330: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,330: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,330: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,330: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,331: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,331: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,331: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,331: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-02 13:47:15,783: +PUB [/rosout] /JOYSTICK http://10.177.130.207:43837/
[rosmaster.master][INFO] 2025-09-02 13:47:15,786: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.177.130.207:43837/
[rosmaster.master][INFO] 2025-09-02 13:47:15,788: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.177.130.207:43837/
[rosmaster.master][INFO] 2025-09-02 13:47:15,796: +PUB [/diagnostics] /JOYSTICK http://10.177.130.207:43837/
[rosmaster.master][INFO] 2025-09-02 13:47:15,800: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-02 13:47:15,816: +PUB [/joy] /JOYSTICK http://10.177.130.207:43837/
[rosmaster.master][INFO] 2025-09-02 13:47:15,835: +SUB [/joy/set_feedback] /JOYSTICK http://10.177.130.207:43837/
[rosmaster.master][INFO] 2025-09-02 13:47:15,836: publisherUpdate[/rosout] -> http://10.177.130.207:42919/ ['http://10.177.130.207:43837/']
[rosmaster.master][INFO] 2025-09-02 13:47:15,858: publisherUpdate[/rosout] -> http://10.177.130.207:42919/ ['http://10.177.130.207:43837/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-02 13:47:15,939: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-02 13:47:17,359: +PUB [/rosout] /rosapi http://10.177.130.207:44293/
[rosmaster.master][INFO] 2025-09-02 13:47:17,362: publisherUpdate[/rosout] -> http://10.177.130.207:42919/ ['http://10.177.130.207:43837/', 'http://10.177.130.207:44293/']
[rosmaster.master][INFO] 2025-09-02 13:47:17,365: publisherUpdate[/rosout] -> http://10.177.130.207:42919/ ['http://10.177.130.207:43837/', 'http://10.177.130.207:44293/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-02 13:47:17,369: +SERVICE [/rosapi/get_loggers] /rosapi http://10.177.130.207:44293/
[rosmaster.master][INFO] 2025-09-02 13:47:17,372: +SERVICE [/rosapi/set_logger_level] /rosapi http://10.177.130.207:44293/
[rosmaster.master][INFO] 2025-09-02 13:47:17,382: +SERVICE [/rosapi/topics] /rosapi http://10.177.130.207:44293/
[rosmaster.master][INFO] 2025-09-02 13:47:17,385: +SERVICE [/rosapi/topics_for_type] /rosapi http://10.177.130.207:44293/
