[rosmaster.main][INFO] 2025-08-14 14:23:17,399: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 14:23:17,399: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 14:23:17,401: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-14 14:23:17,402: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-14 14:23:17,403: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-14 14:23:17,403: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 14:23:17,474: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,477: +PARAM [/roslaunch/uris/host_localhost__41181] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,622: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,623: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,623: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,624: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,624: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,625: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,625: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,626: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,627: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,629: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,629: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,630: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,631: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,632: +SERVICE [/rosout/get_loggers] /rosout http://localhost:38171/
[rosmaster.master][INFO] 2025-08-14 14:23:17,632: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,633: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,635: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:38171/
[rosmaster.master][INFO] 2025-08-14 14:23:17,635: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,636: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,637: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,638: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,639: +PUB [/rosout_agg] /rosout http://localhost:38171/
[rosmaster.master][INFO] 2025-08-14 14:23:17,639: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,640: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 14:23:17,652: +SUB [/rosout] /rosout http://localhost:38171/
[rosmaster.master][INFO] 2025-08-14 14:23:20,016: +PUB [/rosout] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,025: publisherUpdate[/rosout] -> http://localhost:38171/ ['http://localhost:43239/']
[rosmaster.master][INFO] 2025-08-14 14:23:20,033: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,039: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,056: publisherUpdate[/rosout] -> http://localhost:38171/ ['http://localhost:43239/']: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-14 14:23:20,068: +SERVICE [/rosapi/topics] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,072: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,087: +SERVICE [/rosapi/services] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,091: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,097: +SERVICE [/rosapi/nodes] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,102: +SERVICE [/rosapi/node_details] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,106: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,113: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,118: +SERVICE [/rosapi/service_type] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,126: +SERVICE [/rosapi/publishers] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,131: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,136: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,143: +SERVICE [/rosapi/service_node] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,154: +SERVICE [/rosapi/service_host] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,162: +SERVICE [/rosapi/message_details] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,171: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:43239/
[rosmaster.master][INFO] 2025-08-14 14:23:20,186: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:43239/
