[rosmaster.main][INFO] 2025-08-11 11:35:10,581: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 11:35:10,581: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 11:35:10,583: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 11:35:10,584: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 11:35:10,584: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 11:35:10,584: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 11:35:10,611: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,615: +PARAM [/roslaunch/uris/host_localhost__39275] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,732: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,733: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,733: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,733: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,734: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,734: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,734: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,735: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,735: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,735: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,735: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,736: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,736: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,736: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,736: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,737: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,737: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,737: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,737: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,737: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,738: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:35:10,915: +SERVICE [/rosout/get_loggers] /rosout http://localhost:34075/
[rosmaster.master][INFO] 2025-08-11 11:35:10,917: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:34075/
[rosmaster.master][INFO] 2025-08-11 11:35:10,921: +PUB [/rosout_agg] /rosout http://localhost:34075/
[rosmaster.master][INFO] 2025-08-11 11:35:10,932: +SUB [/rosout] /rosout http://localhost:34075/
[rosmaster.master][INFO] 2025-08-11 11:35:12,115: +PUB [/rosout] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,122: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,125: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,133: +SERVICE [/rosapi/topics] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,136: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,139: +SERVICE [/rosapi/services] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,142: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,145: +SERVICE [/rosapi/nodes] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,148: +SERVICE [/rosapi/node_details] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,151: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,154: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,157: +SERVICE [/rosapi/service_type] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,160: +SERVICE [/rosapi/publishers] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,162: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,165: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,168: +SERVICE [/rosapi/service_node] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,172: +SERVICE [/rosapi/service_host] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,175: +SERVICE [/rosapi/message_details] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,178: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,182: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,185: +SERVICE [/rosapi/set_param] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,185: publisherUpdate[/rosout] -> http://localhost:34075/ ['http://localhost:35837/']
[rosmaster.master][INFO] 2025-08-11 11:35:12,189: +SERVICE [/rosapi/get_param] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,196: +SERVICE [/rosapi/has_param] /rosapi http://localhost:35837/
[rosmaster.master][INFO] 2025-08-11 11:35:12,200: publisherUpdate[/rosout] -> http://localhost:34075/ ['http://localhost:35837/']: sec=0.01, result=[1, '', 0]
