[rosmaster.main][INFO] 2025-08-11 13:08:17,317: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:08:17,318: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:08:17,319: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:08:17,320: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:08:17,321: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:08:17,321: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:08:17,436: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,439: +PARAM [/roslaunch/uris/host_localhost__40843] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,577: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,577: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,577: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,578: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,578: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,578: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,579: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,579: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,579: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,579: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,580: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,580: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,580: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,580: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,581: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,581: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,581: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,581: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,582: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,582: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,583: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:08:17,587: +SERVICE [/rosout/get_loggers] /rosout http://localhost:38275/
[rosmaster.master][INFO] 2025-08-11 13:08:17,590: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:38275/
[rosmaster.master][INFO] 2025-08-11 13:08:17,596: +PUB [/rosout_agg] /rosout http://localhost:38275/
[rosmaster.master][INFO] 2025-08-11 13:08:17,608: +SUB [/rosout] /rosout http://localhost:38275/
[rosmaster.master][INFO] 2025-08-11 13:08:19,055: +PUB [/rosout] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,068: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,073: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,085: +SERVICE [/rosapi/topics] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,088: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,092: +SERVICE [/rosapi/services] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,095: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,098: +SERVICE [/rosapi/nodes] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,102: +SERVICE [/rosapi/node_details] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,105: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:42845/
[rosmaster.master][INFO] 2025-08-11 13:08:19,108: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:42845/
