[rosmaster.main][INFO] 2025-08-19 14:17:39,821: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 14:17:39,822: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 14:17:39,823: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 14:17:39,824: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 14:17:39,825: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 14:17:39,825: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 14:17:39,921: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:17:39,924: +PARAM [/roslaunch/uris/host_10_176_33_207__45763] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:17:40,057: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:17:40,057: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:17:40,067: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:38581/
[rosmaster.master][INFO] 2025-08-19 14:17:40,069: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:38581/
[rosmaster.master][INFO] 2025-08-19 14:17:40,072: +PUB [/rosout_agg] /rosout http://10.176.33.207:38581/
[rosmaster.master][INFO] 2025-08-19 14:17:40,077: +SUB [/rosout] /rosout http://10.176.33.207:38581/
[rosmaster.master][INFO] 2025-08-19 14:24:00,006: +PARAM [/roslaunch/uris/host_localhost__46477] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,018: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,018: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,019: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,019: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,019: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,019: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,019: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,020: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,020: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,020: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,020: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,021: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,021: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,021: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,021: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,021: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,021: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,022: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,022: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,022: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,022: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,023: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,023: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:24:00,405: +PUB [/rosout] /JOYSTICK http://localhost:45083/
[rosmaster.master][INFO] 2025-08-19 14:24:00,413: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:45083/
[rosmaster.master][INFO] 2025-08-19 14:24:00,415: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:45083/
[rosmaster.master][INFO] 2025-08-19 14:24:00,429: +PUB [/diagnostics] /JOYSTICK http://localhost:45083/
[rosmaster.master][INFO] 2025-08-19 14:24:00,431: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 14:24:00,434: +PUB [/joy] /JOYSTICK http://localhost:45083/
[rosmaster.master][INFO] 2025-08-19 14:24:00,443: publisherUpdate[/rosout] -> http://10.176.33.207:38581/ ['http://localhost:45083/']
[rosmaster.master][INFO] 2025-08-19 14:24:00,465: publisherUpdate[/rosout] -> http://10.176.33.207:38581/ ['http://localhost:45083/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 14:24:00,466: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:45083/
[rosmaster.master][INFO] 2025-08-19 14:24:00,565: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 14:24:01,876: +PUB [/rosout] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,887: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,891: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,903: +SERVICE [/rosapi/topics] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,907: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,910: +SERVICE [/rosapi/services] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,914: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,917: +SERVICE [/rosapi/nodes] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,921: +SERVICE [/rosapi/node_details] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,924: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,927: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,931: +SERVICE [/rosapi/service_type] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,934: +SERVICE [/rosapi/publishers] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,937: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,941: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,944: +SERVICE [/rosapi/service_node] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,947: publisherUpdate[/rosout] -> http://10.176.33.207:38581/ ['http://localhost:45083/', 'http://localhost:36233/']
[rosmaster.master][INFO] 2025-08-19 14:24:01,948: +SERVICE [/rosapi/service_host] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,959: +SERVICE [/rosapi/message_details] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,960: publisherUpdate[/rosout] -> http://10.176.33.207:38581/ ['http://localhost:45083/', 'http://localhost:36233/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 14:24:01,967: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,970: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,974: +SERVICE [/rosapi/set_param] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,977: +SERVICE [/rosapi/get_param] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,980: +SERVICE [/rosapi/has_param] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,984: +SERVICE [/rosapi/search_param] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,987: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,990: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,993: +SERVICE [/rosapi/get_time] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,996: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:36233/
[rosmaster.master][INFO] 2025-08-19 14:24:01,999: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-19 14:24:02,099: +PUB [/rosout] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,107: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,110: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,116: +SUB [/kelpie/imu] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,121: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,128: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,132: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,137: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-19 14:24:02,142: +SUB [/kelpie/command_input] /kelpie http://localhost:36743/
[rosmaster.master][INFO] 2025-08-19 14:24:02,145: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-19 14:24:02,149: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-19 14:24:02,153: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-19 14:24:02,156: publisherUpdate[/rosout] -> http://10.176.33.207:38581/ ['http://localhost:45083/', 'http://localhost:36233/', 'http://localhost:36743/']
