[rosmaster.main][INFO] 2025-09-16 11:07:07,188: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-16 11:07:07,189: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-16 11:07:07,190: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-16 11:07:07,191: Started XML-RPC server [http://172.19.19.207:11311/]
[rosmaster.master][INFO] 2025-09-16 11:07:07,192: Master initialized: port[11311], uri[http://172.19.19.207:11311/]
[xmlrpc][INFO] 2025-09-16 11:07:07,192: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-16 11:07:07,276: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:07:07,279: +PARAM [/roslaunch/uris/host_172_19_19_207__43451] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:07:07,411: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:07:07,412: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:07:07,422: +SERVICE [/rosout/get_loggers] /rosout http://172.19.19.207:38205/
[rosmaster.master][INFO] 2025-09-16 11:07:07,423: +SERVICE [/rosout/set_logger_level] /rosout http://172.19.19.207:38205/
[rosmaster.master][INFO] 2025-09-16 11:07:07,426: +PUB [/rosout_agg] /rosout http://172.19.19.207:38205/
[rosmaster.master][INFO] 2025-09-16 11:07:07,432: +SUB [/rosout] /rosout http://172.19.19.207:38205/
[rosmaster.master][INFO] 2025-09-16 11:07:12,795: -SUB [/kelpie/leg_control/joint_states] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,796: -SUB [/joy] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,796: -PUB [/kelpie/leg_control/currents] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,796: -PUB [/kelpie/battery/voltage] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,796: -PUB [/kelpie/imu] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,797: -PUB [/rosout] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,797: -PUB [/kelpie/command_input] /hardware http://172.19.19.207:40293/
[rosmaster.master][INFO] 2025-09-16 11:07:12,798: -SERVICE [/hardware/get_loggers] /hardware rosrpc://172.19.19.207:39215
[rosmaster.master][INFO] 2025-09-16 11:07:12,799: -SERVICE [/hardware/set_logger_level] /hardware rosrpc://172.19.19.207:39215
[rosmaster.master][INFO] 2025-09-16 11:07:12,806: -PUB [/rosout] /rosapi http://172.19.19.207:35869/
[rosmaster.master][INFO] 2025-09-16 11:07:12,809: -PUB [/rosout] /rosbridge_websocket http://172.19.19.207:33453/
[rosmaster.master][INFO] 2025-09-16 11:07:12,809: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,810: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,811: -PUB [/client_count] /rosbridge_websocket http://172.19.19.207:33453/
[rosmaster.master][INFO] 2025-09-16 11:07:12,811: -SERVICE [/rosapi/topics] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,812: -PUB [/connected_clients] /rosbridge_websocket http://172.19.19.207:33453/
[rosmaster.master][INFO] 2025-09-16 11:07:12,812: -SERVICE [/rosapi/topics_for_type] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,813: -SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket rosrpc://172.19.19.207:35431
[rosmaster.master][INFO] 2025-09-16 11:07:12,813: -SERVICE [/rosapi/services] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,813: -SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket rosrpc://172.19.19.207:35431
[rosmaster.master][INFO] 2025-09-16 11:07:12,814: -SERVICE [/rosapi/services_for_type] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,814: -SERVICE [/rosapi/nodes] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,814: -SERVICE [/rosapi/node_details] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,815: -SERVICE [/rosapi/action_servers] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,815: -SERVICE [/rosapi/topic_type] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,815: -SERVICE [/rosapi/service_type] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,816: -SERVICE [/rosapi/publishers] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,816: -SERVICE [/rosapi/subscribers] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,816: -SERVICE [/rosapi/service_providers] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,816: -SERVICE [/rosapi/service_node] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,816: -SERVICE [/rosapi/service_host] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,816: -SERVICE [/rosapi/message_details] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,817: -SERVICE [/rosapi/service_request_details] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,817: -SERVICE [/rosapi/service_response_details] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,817: -SERVICE [/rosapi/set_param] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,817: -SERVICE [/rosapi/get_param] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,817: -SERVICE [/rosapi/has_param] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,818: -SERVICE [/rosapi/search_param] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,818: -SERVICE [/rosapi/delete_param] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,818: -SERVICE [/rosapi/get_param_names] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,818: -SERVICE [/rosapi/get_time] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,818: -SERVICE [/rosapi/topics_and_raw_types] /rosapi rosrpc://172.19.19.207:36813
[rosmaster.master][INFO] 2025-09-16 11:07:12,934: -PUB [/rosout] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:07:12,936: -PUB [/diagnostics] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:07:12,937: -PUB [/joy] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:07:12,938: -SUB [/joy/set_feedback] /JOYSTICK http://172.19.19.207:42227/
[rosmaster.master][INFO] 2025-09-16 11:07:12,940: -SERVICE [/JOYSTICK/get_loggers] /JOYSTICK rosrpc://172.19.19.207:36509
[rosmaster.master][INFO] 2025-09-16 11:07:12,941: -SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK rosrpc://172.19.19.207:36509
[rosmaster.master][INFO] 2025-09-16 11:07:12,943: -CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 11:07:12,944: -CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 11:07:27,825: -SUB [/kelpie/imu] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,826: -SUB [/kelpie/leg_control/currents] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,826: -SUB [/kelpie/battery/voltage] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,826: -SUB [/kelpie/command_input] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,826: -SUB [/kelpie/leg_control/joint_states] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,826: -PUB [/rosout] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,827: -PUB [/kelpie/leg_control/joint_states] /kelpie http://172.19.19.207:46237/
[rosmaster.master][INFO] 2025-09-16 11:07:27,827: -SERVICE [/kelpie/get_loggers] /kelpie rosrpc://172.19.19.207:41145
[rosmaster.master][INFO] 2025-09-16 11:07:27,827: -SERVICE [/kelpie/set_logger_level] /kelpie rosrpc://172.19.19.207:41145
[rosmaster.master][INFO] 2025-09-16 11:08:47,755: +PARAM [/roslaunch/uris/host_172_19_19_207__33781] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,767: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,767: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,768: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,768: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,768: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,768: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,769: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,769: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,769: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,769: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,769: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,770: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,770: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,770: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,770: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,770: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,771: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,771: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,771: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,771: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,772: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,772: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:47,772: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 11:08:48,148: +PUB [/rosout] /JOYSTICK http://172.19.19.207:40881/
[rosmaster.master][INFO] 2025-09-16 11:08:48,150: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://172.19.19.207:40881/
[rosmaster.master][INFO] 2025-09-16 11:08:48,153: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://172.19.19.207:40881/
[rosmaster.master][INFO] 2025-09-16 11:08:48,157: publisherUpdate[/rosout] -> http://172.19.19.207:38205/ ['http://172.19.19.207:40881/']
[rosmaster.master][INFO] 2025-09-16 11:08:48,158: +PUB [/diagnostics] /JOYSTICK http://172.19.19.207:40881/
[rosmaster.master][INFO] 2025-09-16 11:08:48,166: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 11:08:48,171: +PUB [/joy] /JOYSTICK http://172.19.19.207:40881/
[rosmaster.master][INFO] 2025-09-16 11:08:48,173: publisherUpdate[/rosout] -> http://172.19.19.207:38205/ ['http://172.19.19.207:40881/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-16 11:08:48,200: +SUB [/joy/set_feedback] /JOYSTICK http://172.19.19.207:40881/
[rosmaster.master][INFO] 2025-09-16 11:08:48,232: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 11:08:49,560: +PUB [/rosout] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,561: publisherUpdate[/rosout] -> http://172.19.19.207:38205/ ['http://172.19.19.207:40881/', 'http://172.19.19.207:46871/']
[rosmaster.master][INFO] 2025-09-16 11:08:49,572: publisherUpdate[/rosout] -> http://172.19.19.207:38205/ ['http://172.19.19.207:40881/', 'http://172.19.19.207:46871/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-16 11:08:49,577: +SERVICE [/kelpie/get_loggers] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,580: +SERVICE [/kelpie/set_logger_level] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,586: +SUB [/kelpie/imu] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,591: +SUB [/kelpie/leg_control/currents] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,596: +SUB [/kelpie/battery/voltage] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,600: +PUB [/kelpie/leg_control/joint_states] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,604: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,610: +SUB [/kelpie/command_input] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,614: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,620: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,622: +PUB [/rosout] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,626: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,632: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,633: +SERVICE [/rosapi/get_loggers] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,636: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,637: +SERVICE [/rosapi/set_logger_level] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,641: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,647: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,648: +SERVICE [/rosapi/topics] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,651: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,652: +SERVICE [/rosapi/topics_for_type] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,655: +SERVICE [/rosapi/services] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,659: +SERVICE [/rosapi/services_for_type] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,660: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,662: +SERVICE [/rosapi/nodes] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,665: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,666: +SERVICE [/rosapi/node_details] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,668: publisherUpdate[/rosout] -> http://172.19.19.207:38205/ ['http://172.19.19.207:40881/', 'http://172.19.19.207:46871/', 'http://172.19.19.207:36533/']
[rosmaster.master][INFO] 2025-09-16 11:08:49,670: +SERVICE [/rosapi/action_servers] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,672: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,673: publisherUpdate[/rosout] -> http://172.19.19.207:38205/ ['http://172.19.19.207:40881/', 'http://172.19.19.207:46871/', 'http://172.19.19.207:36533/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-16 11:08:49,676: +SERVICE [/rosapi/topic_type] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,679: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,680: +SERVICE [/rosapi/service_type] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,684: +SERVICE [/rosapi/publishers] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,686: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,688: +SERVICE [/rosapi/subscribers] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,690: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,692: +SERVICE [/rosapi/service_providers] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,695: +SERVICE [/rosapi/service_node] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,696: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,699: +SERVICE [/rosapi/service_host] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,702: +SERVICE [/rosapi/message_details] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,704: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,706: +SERVICE [/rosapi/service_request_details] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,709: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,710: +SERVICE [/rosapi/service_response_details] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,713: +SERVICE [/rosapi/set_param] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,715: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,717: +SERVICE [/rosapi/get_param] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,720: +SERVICE [/rosapi/has_param] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,721: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,724: +SERVICE [/rosapi/search_param] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,726: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,728: +SERVICE [/rosapi/delete_param] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,731: +SERVICE [/rosapi/get_param_names] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,733: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-16 11:08:49,735: +SERVICE [/rosapi/get_time] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,739: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://172.19.19.207:36533/
[rosmaster.master][INFO] 2025-09-16 11:08:49,740: +SUB [/kelpie/leg_control/joint_states] /kelpie http://172.19.19.207:46871/
[rosmaster.master][INFO] 2025-09-16 11:08:49,743: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-09-16 11:08:49,746: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
