[rosmaster.main][INFO] 2025-08-19 15:15:05,769: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 15:15:05,769: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 15:15:05,771: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 15:15:05,772: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 15:15:05,772: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 15:15:05,772: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 15:15:05,852: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:05,855: +PARAM [/roslaunch/uris/host_10_176_33_207__46875] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:05,992: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:05,992: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:06,004: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:32955/
[rosmaster.master][INFO] 2025-08-19 15:15:06,005: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:32955/
[rosmaster.master][INFO] 2025-08-19 15:15:06,008: +PUB [/rosout_agg] /rosout http://10.176.33.207:32955/
[rosmaster.master][INFO] 2025-08-19 15:15:06,014: +SUB [/rosout] /rosout http://10.176.33.207:32955/
[rosmaster.master][INFO] 2025-08-19 15:15:23,111: +PARAM [/roslaunch/uris/host_10_176_33_207__46011] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,123: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,124: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,124: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,124: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,124: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,124: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,125: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,125: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,125: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,126: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,126: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,126: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,126: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,126: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,127: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,127: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,127: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,127: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,127: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,127: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,128: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,128: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,128: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:15:23,486: +PUB [/rosout] /JOYSTICK http://10.176.33.207:46701/
[rosmaster.master][INFO] 2025-08-19 15:15:23,489: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.176.33.207:46701/
[rosmaster.master][INFO] 2025-08-19 15:15:23,494: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.176.33.207:46701/
[rosmaster.master][INFO] 2025-08-19 15:15:23,499: +PUB [/diagnostics] /JOYSTICK http://10.176.33.207:46701/
[rosmaster.master][INFO] 2025-08-19 15:15:23,502: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 15:15:23,504: publisherUpdate[/rosout] -> http://10.176.33.207:32955/ ['http://10.176.33.207:46701/']
[rosmaster.master][INFO] 2025-08-19 15:15:23,516: +PUB [/joy] /JOYSTICK http://10.176.33.207:46701/
[rosmaster.master][INFO] 2025-08-19 15:15:23,522: publisherUpdate[/rosout] -> http://10.176.33.207:32955/ ['http://10.176.33.207:46701/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 15:15:23,543: +SUB [/joy/set_feedback] /JOYSTICK http://10.176.33.207:46701/
[rosmaster.master][INFO] 2025-08-19 15:15:23,634: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 15:15:24,955: +PUB [/rosout] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,964: +SERVICE [/rosapi/get_loggers] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,967: +SERVICE [/rosapi/set_logger_level] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,977: +SERVICE [/rosapi/topics] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,980: +SERVICE [/rosapi/topics_for_type] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,983: +SERVICE [/rosapi/services] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,987: +SERVICE [/rosapi/services_for_type] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,990: +SERVICE [/rosapi/nodes] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:24,999: +SERVICE [/rosapi/node_details] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:25,000: +PUB [/rosout] /kelpie http://10.176.33.207:36563/
[rosmaster.master][INFO] 2025-08-19 15:15:25,002: +SERVICE [/rosapi/action_servers] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:25,005: +SERVICE [/rosapi/topic_type] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:25,009: +SERVICE [/rosapi/service_type] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:25,009: publisherUpdate[/rosout] -> http://10.176.33.207:32955/ ['http://10.176.33.207:46701/', 'http://10.176.33.207:40941/']
[rosmaster.master][INFO] 2025-08-19 15:15:25,013: +SERVICE [/kelpie/get_loggers] /kelpie http://10.176.33.207:36563/
[rosmaster.master][INFO] 2025-08-19 15:15:25,014: +SERVICE [/rosapi/publishers] /rosapi http://10.176.33.207:40941/
[rosmaster.master][INFO] 2025-08-19 15:15:25,016: publisherUpdate[/rosout] -> http://10.176.33.207:32955/ ['http://10.176.33.207:46701/', 'http://10.176.33.207:40941/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 15:15:25,017: +SERVICE [/kelpie/set_logger_level] /kelpie http://10.176.33.207:36563/
[rosmaster.master][INFO] 2025-08-19 15:15:25,018: publisherUpdate[/rosout] -> http://10.176.33.207:32955/ ['http://10.176.33.207:46701/', 'http://10.176.33.207:40941/', 'http://10.176.33.207:36563/']
[rosmaster.master][INFO] 2025-08-19 15:15:25,022: +SERVICE [/rosapi/subscribers] /rosapi http://10.176.33.207:40941/
