[rosmaster.main][INFO] 2025-08-13 17:31:09,231: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:31:09,232: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:31:09,233: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:31:09,234: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:31:09,234: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:31:09,235: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:31:09,255: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,258: +PARAM [/roslaunch/uris/host_localhost__40569] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,393: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,393: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,393: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,394: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,394: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,394: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,394: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,395: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,395: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,395: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,395: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,396: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,396: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,396: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,396: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,397: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,397: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,397: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,398: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,398: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,399: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:31:09,402: +SERVICE [/rosout/get_loggers] /rosout http://localhost:45281/
[rosmaster.master][INFO] 2025-08-13 17:31:09,405: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:45281/
[rosmaster.master][INFO] 2025-08-13 17:31:09,411: +PUB [/rosout_agg] /rosout http://localhost:45281/
[rosmaster.master][INFO] 2025-08-13 17:31:09,423: +SUB [/rosout] /rosout http://localhost:45281/
[rosmaster.master][INFO] 2025-08-13 17:31:11,383: +PUB [/rosout] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,393: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,398: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,411: +SERVICE [/rosapi/topics] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,417: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,421: +SERVICE [/rosapi/services] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,425: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,429: +SERVICE [/rosapi/nodes] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,433: +SERVICE [/rosapi/node_details] /rosapi http://localhost:44999/
[rosmaster.master][INFO] 2025-08-13 17:31:11,438: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:44999/
