[rosmaster.main][INFO] 2025-08-11 16:00:29,214: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 16:00:29,214: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 16:00:29,216: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 16:00:29,217: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 16:00:29,217: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 16:00:29,217: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 16:00:29,235: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,238: +PARAM [/roslaunch/uris/host_localhost__39609] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,373: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,374: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,374: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,374: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,374: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,375: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,375: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,375: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,375: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,376: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,376: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,376: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,376: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,377: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,377: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,377: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,377: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,377: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,378: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,380: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,380: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,380: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,380: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:00:29,382: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36967/
[rosmaster.master][INFO] 2025-08-11 16:00:29,384: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36967/
[rosmaster.master][INFO] 2025-08-11 16:00:29,390: +PUB [/rosout_agg] /rosout http://localhost:36967/
[rosmaster.master][INFO] 2025-08-11 16:00:29,402: +SUB [/rosout] /rosout http://localhost:36967/
[rosmaster.master][INFO] 2025-08-11 16:00:29,648: +PUB [/rosout] /JOYSTICK http://localhost:44165/
[rosmaster.master][INFO] 2025-08-11 16:00:29,650: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:44165/
[rosmaster.master][INFO] 2025-08-11 16:00:29,652: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:44165/
[rosmaster.master][INFO] 2025-08-11 16:00:29,656: +PUB [/diagnostics] /JOYSTICK http://localhost:44165/
[rosmaster.master][INFO] 2025-08-11 16:00:29,668: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 16:00:29,673: +PUB [/joy] /JOYSTICK http://localhost:44165/
[rosmaster.master][INFO] 2025-08-11 16:00:29,696: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:44165/
[rosmaster.master][INFO] 2025-08-11 16:00:29,716: publisherUpdate[/rosout] -> http://localhost:36967/ ['http://localhost:44165/']
[rosmaster.master][INFO] 2025-08-11 16:00:29,732: publisherUpdate[/rosout] -> http://localhost:36967/ ['http://localhost:44165/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 16:00:29,821: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 16:00:31,081: +PUB [/rosout] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,090: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,095: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,103: +SUB [/kelpie/imu] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,107: +PUB [/rosout] /rosapi http://localhost:37525/
[rosmaster.master][INFO] 2025-08-11 16:00:31,119: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,122: publisherUpdate[/rosout] -> http://localhost:36967/ ['http://localhost:44165/', 'http://localhost:32825/']
[rosmaster.master][INFO] 2025-08-11 16:00:31,126: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,130: publisherUpdate[/rosout] -> http://localhost:36967/ ['http://localhost:44165/', 'http://localhost:32825/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 16:00:31,131: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:37525/
[rosmaster.master][INFO] 2025-08-11 16:00:31,135: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:32825/
[rosmaster.master][INFO] 2025-08-11 16:00:31,138: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:37525/
