[rosmaster.main][INFO] 2025-08-11 13:44:36,808: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:44:36,808: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:44:36,810: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:44:36,810: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:44:36,811: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:44:36,811: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:44:36,928: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:36,931: +PARAM [/roslaunch/uris/host_localhost__39997] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,065: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,066: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,066: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,067: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,067: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,067: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,067: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,068: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,068: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,068: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:44:37,068: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
