[rosmaster.main][INFO] 2025-08-11 12:54:38,143: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 12:54:38,144: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 12:54:38,145: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 12:54:38,146: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 12:54:38,146: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 12:54:38,147: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 12:54:38,264: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,267: +PARAM [/roslaunch/uris/host_localhost__37283] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,402: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,402: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,403: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,403: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,403: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,403: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,404: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,404: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,404: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,404: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,405: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,405: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,405: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,405: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,405: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,406: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,406: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,407: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,408: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,408: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,409: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,409: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,409: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:54:38,411: +SERVICE [/rosout/get_loggers] /rosout http://localhost:34723/
[rosmaster.master][INFO] 2025-08-11 12:54:38,412: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:34723/
[rosmaster.master][INFO] 2025-08-11 12:54:38,419: +PUB [/rosout_agg] /rosout http://localhost:34723/
[rosmaster.master][INFO] 2025-08-11 12:54:38,431: +SUB [/rosout] /rosout http://localhost:34723/
[rosmaster.master][INFO] 2025-08-11 12:54:38,607: +PUB [/rosout] /JOYSTICK http://localhost:43835/
[rosmaster.master][INFO] 2025-08-11 12:54:38,609: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:43835/
[rosmaster.master][INFO] 2025-08-11 12:54:38,611: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:43835/
[rosmaster.master][INFO] 2025-08-11 12:54:38,615: +PUB [/diagnostics] /JOYSTICK http://localhost:43835/
[rosmaster.master][INFO] 2025-08-11 12:54:38,616: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 12:54:38,620: +PUB [/joy] /JOYSTICK http://localhost:43835/
[rosmaster.master][INFO] 2025-08-11 12:54:38,629: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:43835/
[rosmaster.master][INFO] 2025-08-11 12:54:38,644: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 12:54:38,646: publisherUpdate[/rosout] -> http://localhost:34723/ ['http://localhost:43835/']
[rosmaster.master][INFO] 2025-08-11 12:54:38,657: publisherUpdate[/rosout] -> http://localhost:34723/ ['http://localhost:43835/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 12:54:39,680: +PUB [/rosout] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,687: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,690: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,700: +SERVICE [/rosapi/topics] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,702: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,705: +SERVICE [/rosapi/services] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,708: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,711: +SERVICE [/rosapi/nodes] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,714: +SERVICE [/rosapi/node_details] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,718: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,721: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,724: +SERVICE [/rosapi/service_type] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,727: +SERVICE [/rosapi/publishers] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,730: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,733: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,735: +SERVICE [/rosapi/service_node] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,738: +SERVICE [/rosapi/service_host] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,741: +SERVICE [/rosapi/message_details] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,744: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,747: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,749: publisherUpdate[/rosout] -> http://localhost:34723/ ['http://localhost:43835/', 'http://localhost:36565/']
[rosmaster.master][INFO] 2025-08-11 12:54:39,750: +SERVICE [/rosapi/set_param] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,757: +SERVICE [/rosapi/get_param] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,759: publisherUpdate[/rosout] -> http://localhost:34723/ ['http://localhost:43835/', 'http://localhost:36565/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 12:54:39,761: +SERVICE [/rosapi/has_param] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,764: +SERVICE [/rosapi/search_param] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,767: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,770: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,772: +SERVICE [/rosapi/get_time] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,776: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:36565/
[rosmaster.master][INFO] 2025-08-11 12:54:39,780: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 12:54:39,966: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-11 12:54:40,247: +PUB [/rosout] /rosbridge_websocket http://localhost:39961/
