[rosmaster.main][INFO] 2025-08-11 15:53:47,068: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 15:53:47,068: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 15:53:47,070: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 15:53:47,070: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 15:53:47,071: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 15:53:47,071: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 15:53:47,088: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,091: +PARAM [/roslaunch/uris/host_localhost__40843] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,226: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,227: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,227: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,227: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,228: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,228: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,228: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,228: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,228: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,229: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,229: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,229: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,229: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,230: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,230: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,230: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,231: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,232: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,232: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,233: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,233: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,233: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,233: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:53:47,235: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44613/
[rosmaster.master][INFO] 2025-08-11 15:53:47,237: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44613/
[rosmaster.master][INFO] 2025-08-11 15:53:47,243: +PUB [/rosout_agg] /rosout http://localhost:44613/
[rosmaster.master][INFO] 2025-08-11 15:53:47,255: +SUB [/rosout] /rosout http://localhost:44613/
[rosmaster.master][INFO] 2025-08-11 15:53:47,504: +PUB [/rosout] /JOYSTICK http://localhost:46437/
[rosmaster.master][INFO] 2025-08-11 15:53:47,507: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:46437/
[rosmaster.master][INFO] 2025-08-11 15:53:47,509: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:46437/
[rosmaster.master][INFO] 2025-08-11 15:53:47,518: +PUB [/diagnostics] /JOYSTICK http://localhost:46437/
