[rosmaster.main][INFO] 2025-08-11 14:13:42,439: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 14:13:42,439: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 14:13:42,442: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 14:13:42,442: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 14:13:42,443: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 14:13:42,443: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 14:13:42,562: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,566: +PARAM [/roslaunch/uris/host_localhost__40129] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,706: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,707: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,707: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,707: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,708: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,708: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,708: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,708: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,708: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,709: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:13:42,709: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
