[rosmaster.main][INFO] 2025-08-13 17:53:25,596: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:53:25,597: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:53:25,598: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:53:25,599: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:53:25,600: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:53:25,600: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:53:25,644: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,647: +PARAM [/roslaunch/uris/host_localhost__38165] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,789: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,790: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,790: +PARAM [/right_cam/right_cam_stream/camera_name] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,790: +PARAM [/right_cam/right_cam_stream/video_stream_provider] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,791: +PARAM [/right_cam/right_cam_stream/set_camera_fps] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,791: +PARAM [/right_cam/right_cam_stream/buffer_queue_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,792: +PARAM [/right_cam/right_cam_stream/fps] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,792: +PARAM [/right_cam/right_cam_stream/frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,792: +PARAM [/right_cam/right_cam_stream/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,792: +PARAM [/right_cam/right_cam_stream/flip_horizontal] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,793: +PARAM [/right_cam/right_cam_stream/flip_vertical] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,793: +PARAM [/right_cam/right_cam_stream/loop_videofile] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,793: +PARAM [/right_cam/right_cam_stream/start_frame] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,794: +PARAM [/right_cam/right_cam_stream/stop_frame] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,794: +PARAM [/right_cam/right_cam_stream/width] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,794: +PARAM [/right_cam/right_cam_stream/height] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:53:25,802: +SERVICE [/rosout/get_loggers] /rosout http://localhost:35529/
[rosmaster.master][INFO] 2025-08-13 17:53:25,805: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:35529/
[rosmaster.master][INFO] 2025-08-13 17:53:25,811: +PUB [/rosout_agg] /rosout http://localhost:35529/
[rosmaster.master][INFO] 2025-08-13 17:53:25,821: +SUB [/rosout] /rosout http://localhost:35529/
[rosmaster.master][INFO] 2025-08-13 17:53:25,985: +PUB [/rosout] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:25,986: +SERVICE [/right_cam/right_cam_stream/get_loggers] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:25,988: +SERVICE [/right_cam/right_cam_stream/set_logger_level] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:25,993: +CACHEDPARAM [/rosout_disable_topics_generation] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:25,997: +SERVICE [/right_cam/right_cam_stream/load_nodelet] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:25,998: +SERVICE [/right_cam/right_cam_stream/unload_nodelet] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:25,999: publisherUpdate[/rosout] -> http://localhost:35529/ ['http://localhost:44823/']
[rosmaster.master][INFO] 2025-08-13 17:53:26,002: +SERVICE [/right_cam/right_cam_stream/list] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:26,010: +PUB [/rosout] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,012: +SERVICE [/right_cam/right_cam_image_view/get_loggers] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,015: +SERVICE [/right_cam/right_cam_image_view/set_logger_level] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,016: publisherUpdate[/rosout] -> http://localhost:35529/ ['http://localhost:44823/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:53:26,017: publisherUpdate[/rosout] -> http://localhost:35529/ ['http://localhost:44823/', 'http://localhost:44627/']
[rosmaster.master][INFO] 2025-08-13 17:53:26,026: publisherUpdate[/rosout] -> http://localhost:35529/ ['http://localhost:44823/', 'http://localhost:44627/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:53:26,027: +CACHEDPARAM [/rosout_disable_topics_generation] by /right_cam/right_cam_image_view
[rosmaster.master][INFO] 2025-08-13 17:53:26,031: +SERVICE [/right_cam/right_cam_image_view/load_nodelet] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,033: +SERVICE [/right_cam/right_cam_image_view/unload_nodelet] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,034: +SERVICE [/right_cam/right_cam_image_view/list] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,387: +SERVICE [/right_cam/right_cam_image_view/set_parameters] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,390: +PUB [/right_cam/right_cam_image_view/parameter_descriptions] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,392: +PUB [/right_cam/right_cam_image_view/parameter_updates] /right_cam/right_cam_image_view http://localhost:44627/
[rosmaster.master][INFO] 2025-08-13 17:53:26,400: +PARAM [/right_cam/right_cam_image_view/do_dynamic_scaling] by /right_cam/right_cam_image_view
[rosmaster.master][INFO] 2025-08-13 17:53:26,401: +PARAM [/right_cam/right_cam_image_view/colormap] by /right_cam/right_cam_image_view
[rosmaster.master][INFO] 2025-08-13 17:53:26,403: +PARAM [/right_cam/right_cam_image_view/min_image_value] by /right_cam/right_cam_image_view
[rosmaster.master][INFO] 2025-08-13 17:53:26,405: +PARAM [/right_cam/right_cam_image_view/max_image_value] by /right_cam/right_cam_image_view
[rosmaster.master][INFO] 2025-08-13 17:53:26,410: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-13 17:53:26,546: +SERVICE [/right_cam/right_cam_stream/set_parameters] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:26,548: +PUB [/right_cam/right_cam_stream/parameter_descriptions] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:26,550: +PUB [/right_cam/right_cam_stream/parameter_updates] /right_cam/right_cam_stream http://localhost:44823/
[rosmaster.master][INFO] 2025-08-13 17:53:26,580: +PARAM [/right_cam/right_cam_stream/camera_name] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,582: +PARAM [/right_cam/right_cam_stream/set_camera_fps] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,584: +PARAM [/right_cam/right_cam_stream/buffer_queue_size] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,586: +PARAM [/right_cam/right_cam_stream/fps] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,588: +PARAM [/right_cam/right_cam_stream/frame_id] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,591: +PARAM [/right_cam/right_cam_stream/camera_info_url] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,593: +PARAM [/right_cam/right_cam_stream/flip_horizontal] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,595: +PARAM [/right_cam/right_cam_stream/flip_vertical] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,597: +PARAM [/right_cam/right_cam_stream/width] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,598: +PARAM [/right_cam/right_cam_stream/height] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,601: +PARAM [/right_cam/right_cam_stream/brightness] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,602: +PARAM [/right_cam/right_cam_stream/contrast] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,604: +PARAM [/right_cam/right_cam_stream/hue] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,606: +PARAM [/right_cam/right_cam_stream/saturation] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,608: +PARAM [/right_cam/right_cam_stream/auto_exposure] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,609: +PARAM [/right_cam/right_cam_stream/exposure] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,611: +PARAM [/right_cam/right_cam_stream/loop_videofile] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,613: +PARAM [/right_cam/right_cam_stream/reopen_on_read_failure] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,614: +PARAM [/right_cam/right_cam_stream/output_encoding] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,616: +PARAM [/right_cam/right_cam_stream/start_frame] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,618: +PARAM [/right_cam/right_cam_stream/stop_frame] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,626: +PARAM [/right_cam/right_cam_stream/camera_name] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,628: +PARAM [/right_cam/right_cam_stream/set_camera_fps] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,631: +PARAM [/right_cam/right_cam_stream/buffer_queue_size] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,633: +PARAM [/right_cam/right_cam_stream/fps] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,635: +PARAM [/right_cam/right_cam_stream/frame_id] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,636: +PARAM [/right_cam/right_cam_stream/camera_info_url] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,638: +PARAM [/right_cam/right_cam_stream/flip_horizontal] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,640: +PARAM [/right_cam/right_cam_stream/flip_vertical] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,642: +PARAM [/right_cam/right_cam_stream/width] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,644: +PARAM [/right_cam/right_cam_stream/height] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,646: +PARAM [/right_cam/right_cam_stream/brightness] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,647: +PARAM [/right_cam/right_cam_stream/contrast] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,649: +PARAM [/right_cam/right_cam_stream/hue] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,651: +PARAM [/right_cam/right_cam_stream/saturation] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,652: +PARAM [/right_cam/right_cam_stream/auto_exposure] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,654: +PARAM [/right_cam/right_cam_stream/exposure] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,656: +PARAM [/right_cam/right_cam_stream/loop_videofile] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,658: +PARAM [/right_cam/right_cam_stream/reopen_on_read_failure] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,659: +PARAM [/right_cam/right_cam_stream/output_encoding] by /right_cam/right_cam_stream
[rosmaster.master][INFO] 2025-08-13 17:53:26,661: +PARAM [/right_cam/right_cam_stream/start_frame] by /right_cam/right_cam_stream
