[rosmaster.main][INFO] 2025-08-11 16:22:46,337: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 16:22:46,337: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 16:22:46,339: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 16:22:46,340: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 16:22:46,340: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 16:22:46,340: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 16:22:46,459: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,462: +PARAM [/roslaunch/uris/host_localhost__46543] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,598: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,598: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,598: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,599: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,599: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,599: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,599: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,600: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,600: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,600: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,600: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:22:46,601: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
