[rosmaster.main][INFO] 2025-08-11 13:38:08,480: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:38:08,480: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:38:08,482: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:38:08,483: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:38:08,483: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:38:08,483: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:38:08,497: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,500: +PARAM [/roslaunch/uris/host_localhost__34003] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,636: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,637: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,637: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,637: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,638: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,638: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,638: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,638: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,639: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,639: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,639: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,639: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,640: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,640: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,640: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,640: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,640: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,641: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,641: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,643: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,643: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:08,645: +SERVICE [/rosout/get_loggers] /rosout http://localhost:42093/
[rosmaster.master][INFO] 2025-08-11 13:38:08,648: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:42093/
[rosmaster.master][INFO] 2025-08-11 13:38:08,654: +PUB [/rosout_agg] /rosout http://localhost:42093/
[rosmaster.master][INFO] 2025-08-11 13:38:08,666: +SUB [/rosout] /rosout http://localhost:42093/
[rosmaster.master][INFO] 2025-08-11 13:38:10,115: +PUB [/rosout] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,123: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,126: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,139: +SERVICE [/rosapi/topics] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,143: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,146: +SERVICE [/rosapi/services] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,149: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,155: +SERVICE [/rosapi/nodes] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,161: +SERVICE [/rosapi/node_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,167: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,172: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,178: +SERVICE [/rosapi/service_type] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,183: +SERVICE [/rosapi/publishers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,185: publisherUpdate[/rosout] -> http://localhost:42093/ ['http://localhost:37819/']
[rosmaster.master][INFO] 2025-08-11 13:38:10,200: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,205: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,206: publisherUpdate[/rosout] -> http://localhost:42093/ ['http://localhost:37819/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:38:10,210: +SERVICE [/rosapi/service_node] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,213: +SERVICE [/rosapi/service_host] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,216: +SERVICE [/rosapi/message_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,219: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,222: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,226: +SERVICE [/rosapi/set_param] /rosapi http://localhost:37819/
[rosmaster.master][INFO] 2025-08-11 13:38:10,229: +SERVICE [/rosapi/get_param] /rosapi http://localhost:37819/
