[rosmaster.main][INFO] 2025-09-16 12:55:34,608: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-16 12:55:34,609: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-16 12:55:34,610: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-16 12:55:34,611: Started XML-RPC server [http://172.19.19.207:11311/]
[rosmaster.master][INFO] 2025-09-16 12:55:34,611: Master initialized: port[11311], uri[http://172.19.19.207:11311/]
[xmlrpc][INFO] 2025-09-16 12:55:34,612: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-16 12:55:34,728: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:55:34,731: +PARAM [/roslaunch/uris/host_172_19_19_207__45441] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:55:34,879: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:55:34,880: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:55:35,061: +SERVICE [/rosout/get_loggers] /rosout http://172.19.19.207:46241/
[rosmaster.master][INFO] 2025-09-16 12:55:35,063: +SERVICE [/rosout/set_logger_level] /rosout http://172.19.19.207:46241/
[rosmaster.master][INFO] 2025-09-16 12:55:35,067: +PUB [/rosout_agg] /rosout http://172.19.19.207:46241/
[rosmaster.master][INFO] 2025-09-16 12:55:35,075: +SUB [/rosout] /rosout http://172.19.19.207:46241/
[rosmaster.master][INFO] 2025-09-16 12:57:30,304: +PARAM [/roslaunch/uris/host_172_19_19_207__35223] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,317: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,317: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,317: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,318: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,318: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,318: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,318: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,318: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,319: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,319: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,319: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,319: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,319: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,320: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,320: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,320: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,320: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,320: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,321: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,321: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,321: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,321: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,321: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-16 12:57:30,752: +PUB [/rosout] /JOYSTICK http://172.19.19.207:37041/
[rosmaster.master][INFO] 2025-09-16 12:57:30,756: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://172.19.19.207:37041/
[rosmaster.master][INFO] 2025-09-16 12:57:30,759: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://172.19.19.207:37041/
[rosmaster.master][INFO] 2025-09-16 12:57:30,765: +PUB [/diagnostics] /JOYSTICK http://172.19.19.207:37041/
[rosmaster.master][INFO] 2025-09-16 12:57:30,770: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 12:57:30,784: +PUB [/joy] /JOYSTICK http://172.19.19.207:37041/
[rosmaster.master][INFO] 2025-09-16 12:57:30,802: publisherUpdate[/rosout] -> http://172.19.19.207:46241/ ['http://172.19.19.207:37041/']
[rosmaster.master][INFO] 2025-09-16 12:57:30,807: +SUB [/joy/set_feedback] /JOYSTICK http://172.19.19.207:37041/
[rosmaster.master][INFO] 2025-09-16 12:57:30,821: publisherUpdate[/rosout] -> http://172.19.19.207:46241/ ['http://172.19.19.207:37041/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-16 12:57:30,901: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-16 12:57:32,342: +PUB [/rosout] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,349: +SERVICE [/rosapi/get_loggers] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,352: +SERVICE [/rosapi/set_logger_level] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,364: +SERVICE [/rosapi/topics] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,369: +SERVICE [/rosapi/topics_for_type] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,372: +PUB [/rosout] /kelpie http://172.19.19.207:45089/
[rosmaster.master][INFO] 2025-09-16 12:57:32,379: +SERVICE [/rosapi/services] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,383: +SERVICE [/rosapi/services_for_type] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,386: +SERVICE [/rosapi/nodes] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,389: +SERVICE [/rosapi/node_details] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,391: +SERVICE [/kelpie/get_loggers] /kelpie http://172.19.19.207:45089/
[rosmaster.master][INFO] 2025-09-16 12:57:32,393: +SERVICE [/rosapi/action_servers] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,395: +SERVICE [/kelpie/set_logger_level] /kelpie http://172.19.19.207:45089/
[rosmaster.master][INFO] 2025-09-16 12:57:32,397: +SERVICE [/rosapi/topic_type] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,401: +SERVICE [/rosapi/service_type] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,404: +SERVICE [/rosapi/publishers] /rosapi http://172.19.19.207:40741/
[rosmaster.master][INFO] 2025-09-16 12:57:32,406: +SUB [/kelpie/imu] /kelpie http://172.19.19.207:45089/
[rosmaster.master][INFO] 2025-09-16 12:57:32,408: publisherUpdate[/rosout] -> http://172.19.19.207:46241/ ['http://172.19.19.207:37041/', 'http://172.19.19.207:40741/']
[rosmaster.master][INFO] 2025-09-16 12:57:32,409: +SERVICE [/rosapi/subscribers] /rosapi http://172.19.19.207:40741/
