[rosmaster.main][INFO] 2025-08-13 17:10:39,014: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-13 17:10:39,015: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-13 17:10:39,016: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-13 17:10:39,017: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-13 17:10:39,017: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-13 17:10:39,018: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-13 17:10:39,037: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,040: +PARAM [/roslaunch/uris/host_localhost__46317] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,175: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,176: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,176: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,176: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,176: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,177: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,177: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,177: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,177: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,177: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,178: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,178: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,178: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,178: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,179: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,179: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,179: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,179: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,180: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,180: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,181: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-13 17:10:39,185: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36163/
[rosmaster.master][INFO] 2025-08-13 17:10:39,188: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36163/
[rosmaster.master][INFO] 2025-08-13 17:10:39,194: +PUB [/rosout_agg] /rosout http://localhost:36163/
[rosmaster.master][INFO] 2025-08-13 17:10:39,206: +SUB [/rosout] /rosout http://localhost:36163/
[rosmaster.master][INFO] 2025-08-13 17:10:41,109: +PUB [/rosout] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,121: publisherUpdate[/rosout] -> http://localhost:36163/ ['http://localhost:34581/']
[rosmaster.master][INFO] 2025-08-13 17:10:41,135: publisherUpdate[/rosout] -> http://localhost:36163/ ['http://localhost:34581/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-13 17:10:41,140: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,147: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,169: +SERVICE [/rosapi/topics] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,176: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,181: +SERVICE [/rosapi/services] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,188: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,193: +SERVICE [/rosapi/nodes] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,197: +SERVICE [/rosapi/node_details] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,201: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,206: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,210: +SERVICE [/rosapi/service_type] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,214: +SERVICE [/rosapi/publishers] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,218: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,222: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,231: +SERVICE [/rosapi/service_node] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,235: +SERVICE [/rosapi/service_host] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,237: +PUB [/rosout] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,240: +SERVICE [/rosapi/message_details] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,244: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,248: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,250: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,252: +SERVICE [/rosapi/set_param] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,254: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,256: +SERVICE [/rosapi/get_param] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,260: +SERVICE [/rosapi/has_param] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,262: +SUB [/kelpie/imu] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,264: +SERVICE [/rosapi/search_param] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,268: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,270: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,272: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,276: +SERVICE [/rosapi/get_time] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,278: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,280: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:34581/
[rosmaster.master][INFO] 2025-08-13 17:10:41,282: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,284: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-13 17:10:41,295: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:10:41,302: +SUB [/kelpie/command_input] /kelpie http://localhost:43687/
[rosmaster.master][INFO] 2025-08-13 17:10:41,308: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-13 17:10:41,315: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
