[rosmaster.main][INFO] 2025-08-20 16:12:18,519: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-20 16:12:18,519: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-20 16:12:18,520: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-20 16:12:18,521: Started XML-RPC server [http://kelpie2:11311/]
[rosmaster.master][INFO] 2025-08-20 16:12:18,522: Master initialized: port[11311], uri[http://kelpie2:11311/]
[xmlrpc][INFO] 2025-08-20 16:12:18,522: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-20 16:12:18,636: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,639: +PARAM [/roslaunch/uris/host_kelpie2__35719] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,787: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,787: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,788: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,788: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,788: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,788: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,789: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,789: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,789: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,790: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,790: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,790: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,790: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,791: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,791: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,791: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,791: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,792: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,792: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,792: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,792: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,792: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,793: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-20 16:12:18,977: +SERVICE [/rosout/get_loggers] /rosout http://kelpie2:40901/
[rosmaster.master][INFO] 2025-08-20 16:12:18,980: +SERVICE [/rosout/set_logger_level] /rosout http://kelpie2:40901/
[rosmaster.master][INFO] 2025-08-20 16:12:18,985: +PUB [/rosout_agg] /rosout http://kelpie2:40901/
[rosmaster.master][INFO] 2025-08-20 16:12:18,997: +SUB [/rosout] /rosout http://kelpie2:40901/
[rosmaster.master][INFO] 2025-08-20 16:12:19,198: +PUB [/rosout] /JOYSTICK http://kelpie2:44547/
[rosmaster.master][INFO] 2025-08-20 16:12:19,201: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://kelpie2:44547/
[rosmaster.master][INFO] 2025-08-20 16:12:19,203: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://kelpie2:44547/
[rosmaster.master][INFO] 2025-08-20 16:12:19,207: +PUB [/diagnostics] /JOYSTICK http://kelpie2:44547/
[rosmaster.master][INFO] 2025-08-20 16:12:19,209: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-20 16:12:19,213: +PUB [/joy] /JOYSTICK http://kelpie2:44547/
[rosmaster.master][INFO] 2025-08-20 16:12:19,223: publisherUpdate[/rosout] -> http://kelpie2:40901/ ['http://kelpie2:44547/']
