[rosmaster.main][INFO] 2025-08-11 13:31:14,089: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:31:14,090: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:31:14,091: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:31:14,092: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:31:14,092: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:31:14,093: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:31:14,116: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,119: +PARAM [/roslaunch/uris/host_localhost__40319] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,237: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,238: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,238: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,238: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,238: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,239: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,239: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,239: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,239: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,240: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,240: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,240: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,240: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,240: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,241: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,241: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,241: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,241: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,242: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,242: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,242: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:31:14,422: +SERVICE [/rosout/get_loggers] /rosout http://localhost:35111/
[rosmaster.master][INFO] 2025-08-11 13:31:14,424: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:35111/
[rosmaster.master][INFO] 2025-08-11 13:31:14,428: +PUB [/rosout_agg] /rosout http://localhost:35111/
[rosmaster.master][INFO] 2025-08-11 13:31:14,439: +SUB [/rosout] /rosout http://localhost:35111/
[rosmaster.master][INFO] 2025-08-11 13:31:15,615: +PUB [/rosout] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,621: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,624: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,634: +SERVICE [/rosapi/topics] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,637: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,640: +SERVICE [/rosapi/services] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,643: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,646: +SERVICE [/rosapi/nodes] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,649: +SERVICE [/rosapi/node_details] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,652: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,655: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,658: +SERVICE [/rosapi/service_type] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,662: +SERVICE [/rosapi/publishers] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,665: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,668: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,671: +SERVICE [/rosapi/service_node] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,675: +SERVICE [/rosapi/service_host] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,678: +SERVICE [/rosapi/message_details] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,681: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,684: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,688: +SERVICE [/rosapi/set_param] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,691: +SERVICE [/rosapi/get_param] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,694: publisherUpdate[/rosout] -> http://localhost:35111/ ['http://localhost:37899/']
[rosmaster.master][INFO] 2025-08-11 13:31:15,695: +SERVICE [/rosapi/has_param] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,703: +SERVICE [/rosapi/search_param] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,707: publisherUpdate[/rosout] -> http://localhost:35111/ ['http://localhost:37899/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:31:15,708: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,711: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,714: +SERVICE [/rosapi/get_time] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,717: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:15,721: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 13:31:15,914: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-11 13:31:16,374: +PUB [/rosout] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:16,383: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:16,385: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:16,396: publisherUpdate[/rosout] -> http://localhost:35111/ ['http://localhost:37899/', 'http://localhost:45949/']
[rosmaster.master][INFO] 2025-08-11 13:31:16,406: publisherUpdate[/rosout] -> http://localhost:35111/ ['http://localhost:37899/', 'http://localhost:45949/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:31:16,429: +PUB [/client_count] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:16,432: +PUB [/connected_clients] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:16,441: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 13:31:16,448: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 13:31:19,233: -PUB [/rosout] /rosapi http://localhost:37899/
[rosmaster.master][INFO] 2025-08-11 13:31:19,234: -PUB [/rosout] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:19,234: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,235: -PUB [/client_count] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:19,235: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,235: -PUB [/connected_clients] /rosbridge_websocket http://localhost:45949/
[rosmaster.master][INFO] 2025-08-11 13:31:19,236: -SERVICE [/rosapi/topics] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,236: -SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket rosrpc://localhost:43021
[rosmaster.master][INFO] 2025-08-11 13:31:19,236: -SERVICE [/rosapi/topics_for_type] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,236: -SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket rosrpc://localhost:43021
[rosmaster.master][INFO] 2025-08-11 13:31:19,237: -SERVICE [/rosapi/services] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,238: -SERVICE [/rosapi/services_for_type] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,238: -SERVICE [/rosapi/nodes] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,238: -SERVICE [/rosapi/node_details] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,239: -SERVICE [/rosapi/action_servers] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,239: -SERVICE [/rosapi/topic_type] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,239: -SERVICE [/rosapi/service_type] /rosapi rosrpc://localhost:43977
[rosmaster.master][INFO] 2025-08-11 13:31:19,240: -SERVICE [/rosapi/publishers] /rosapi rosrpc://localhost:43977
