[rosmaster.main][INFO] 2025-08-11 14:21:21,208: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 14:21:21,208: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 14:21:21,210: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 14:21:21,210: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 14:21:21,211: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 14:21:21,211: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 14:21:21,244: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,247: +PARAM [/roslaunch/uris/host_localhost__35381] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,366: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,366: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,366: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,367: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,367: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,367: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,368: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,368: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,368: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,369: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,369: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,369: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,370: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,370: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,370: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,370: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,371: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,371: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,371: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,371: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,372: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,372: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,372: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:21:21,555: +SERVICE [/rosout/get_loggers] /rosout http://localhost:45517/
[rosmaster.master][INFO] 2025-08-11 14:21:21,558: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:45517/
[rosmaster.master][INFO] 2025-08-11 14:21:21,565: +PUB [/rosout_agg] /rosout http://localhost:45517/
[rosmaster.master][INFO] 2025-08-11 14:21:21,577: +SUB [/rosout] /rosout http://localhost:45517/
[rosmaster.master][INFO] 2025-08-11 14:21:21,580: +PUB [/rosout] /JOYSTICK http://localhost:44241/
[rosmaster.master][INFO] 2025-08-11 14:21:21,582: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:44241/
[rosmaster.master][INFO] 2025-08-11 14:21:21,584: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:44241/
[rosmaster.master][INFO] 2025-08-11 14:21:21,588: +PUB [/diagnostics] /JOYSTICK http://localhost:44241/
[rosmaster.master][INFO] 2025-08-11 14:21:21,590: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 14:21:21,594: +PUB [/joy] /JOYSTICK http://localhost:44241/
[rosmaster.master][INFO] 2025-08-11 14:21:21,602: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:44241/
[rosmaster.master][INFO] 2025-08-11 14:21:21,610: publisherUpdate[/rosout] -> http://localhost:45517/ ['http://localhost:44241/']
[rosmaster.master][INFO] 2025-08-11 14:21:21,623: publisherUpdate[/rosout] -> http://localhost:45517/ ['http://localhost:44241/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:21:21,682: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 14:21:22,760: +PUB [/rosout] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,767: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,770: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,779: +SERVICE [/rosapi/topics] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,782: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,785: +SERVICE [/rosapi/services] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,788: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,791: +SERVICE [/rosapi/nodes] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,794: +SERVICE [/rosapi/node_details] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,797: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,800: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,803: +SERVICE [/rosapi/service_type] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,807: +SERVICE [/rosapi/publishers] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,810: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,813: publisherUpdate[/rosout] -> http://localhost:45517/ ['http://localhost:44241/', 'http://localhost:43307/']
[rosmaster.master][INFO] 2025-08-11 14:21:22,814: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,823: publisherUpdate[/rosout] -> http://localhost:45517/ ['http://localhost:44241/', 'http://localhost:43307/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:21:22,824: +SERVICE [/rosapi/service_node] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,828: +SERVICE [/rosapi/service_host] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,831: +SERVICE [/rosapi/message_details] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,834: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,837: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,841: +SERVICE [/rosapi/set_param] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,844: +SERVICE [/rosapi/get_param] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,847: +SERVICE [/rosapi/has_param] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,850: +SERVICE [/rosapi/search_param] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,854: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,857: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,860: +SERVICE [/rosapi/get_time] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,863: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:43307/
[rosmaster.master][INFO] 2025-08-11 14:21:22,867: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 14:21:23,027: +CACHEDPARAM [/rosout/omit_topics] by /rosout
