[rosmaster.main][INFO] 2025-08-11 13:38:29,863: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:38:29,863: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:38:29,865: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:38:29,866: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:38:29,866: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:38:29,866: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:38:29,985: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:29,989: +PARAM [/roslaunch/uris/host_localhost__34923] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,128: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,128: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,129: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,129: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,129: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,129: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,130: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,130: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,130: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,130: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,130: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,131: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,131: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,131: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,131: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,132: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,132: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,132: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,132: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,133: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,133: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,133: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,134: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:38:30,138: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43955/
[rosmaster.master][INFO] 2025-08-11 13:38:30,141: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43955/
[rosmaster.master][INFO] 2025-08-11 13:38:30,147: +PUB [/rosout_agg] /rosout http://localhost:43955/
[rosmaster.master][INFO] 2025-08-11 13:38:30,159: +SUB [/rosout] /rosout http://localhost:43955/
[rosmaster.master][INFO] 2025-08-11 13:38:30,359: +PUB [/rosout] /JOYSTICK http://localhost:36257/
[rosmaster.master][INFO] 2025-08-11 13:38:30,361: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:36257/
[rosmaster.master][INFO] 2025-08-11 13:38:30,364: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:36257/
[rosmaster.master][INFO] 2025-08-11 13:38:30,365: publisherUpdate[/rosout] -> http://localhost:43955/ ['http://localhost:36257/']
[rosmaster.master][INFO] 2025-08-11 13:38:30,379: publisherUpdate[/rosout] -> http://localhost:43955/ ['http://localhost:36257/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:38:30,383: +PUB [/diagnostics] /JOYSTICK http://localhost:36257/
[rosmaster.master][INFO] 2025-08-11 13:38:30,385: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 13:38:30,391: +PUB [/joy] /JOYSTICK http://localhost:36257/
[rosmaster.master][INFO] 2025-08-11 13:38:30,402: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:36257/
[rosmaster.master][INFO] 2025-08-11 13:38:30,422: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 13:38:31,629: +PUB [/rosout] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,643: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,648: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,660: +SERVICE [/rosapi/topics] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,663: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,666: +SERVICE [/rosapi/services] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,669: publisherUpdate[/rosout] -> http://localhost:43955/ ['http://localhost:36257/', 'http://localhost:34917/']
[rosmaster.master][INFO] 2025-08-11 13:38:31,670: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,675: +SERVICE [/rosapi/nodes] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,676: publisherUpdate[/rosout] -> http://localhost:43955/ ['http://localhost:36257/', 'http://localhost:34917/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:38:31,680: +SERVICE [/rosapi/node_details] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,690: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,694: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,697: +SERVICE [/rosapi/service_type] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,700: +SERVICE [/rosapi/publishers] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,703: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,706: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,709: +SERVICE [/rosapi/service_node] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,713: +SERVICE [/rosapi/service_host] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,716: +SERVICE [/rosapi/message_details] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,719: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,722: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,725: +SERVICE [/rosapi/set_param] /rosapi http://localhost:34917/
[rosmaster.master][INFO] 2025-08-11 13:38:31,729: +SERVICE [/rosapi/get_param] /rosapi http://localhost:34917/
