[rosmaster.main][INFO] 2025-09-04 16:59:07,717: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-04 16:59:07,718: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-04 16:59:07,719: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-04 16:59:07,720: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-04 16:59:07,720: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-04 16:59:07,721: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-04 16:59:07,810: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:59:07,813: +PARAM [/roslaunch/uris/host_10_237_54_207__41473] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:59:07,948: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:59:07,949: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 16:59:07,959: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:38887/
[rosmaster.master][INFO] 2025-09-04 16:59:07,960: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:38887/
[rosmaster.master][INFO] 2025-09-04 16:59:07,963: +PUB [/rosout_agg] /rosout http://10.237.54.207:38887/
[rosmaster.master][INFO] 2025-09-04 16:59:07,969: +SUB [/rosout] /rosout http://10.237.54.207:38887/
[rosmaster.master][INFO] 2025-09-04 16:59:15,671: -PUB [/rosout_agg] /rosout http://10.237.54.207:38887/
[rosmaster.master][INFO] 2025-09-04 16:59:15,672: -SUB [/rosout] /rosout http://10.237.54.207:38887/
[rosmaster.master][INFO] 2025-09-04 16:59:15,673: -SERVICE [/rosout/get_loggers] /rosout rosrpc://10.237.54.207:50635
[rosmaster.master][INFO] 2025-09-04 16:59:15,675: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://10.237.54.207:50635
[rosmaster.main][INFO] 2025-09-04 16:59:15,782: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-09-04 16:59:15,783: stopping master...
[rospy.core][INFO] 2025-09-04 16:59:15,784: signal_shutdown [atexit]
