[rosmaster.main][INFO] 2025-08-19 15:02:11,196: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 15:02:11,197: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 15:02:11,199: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 15:02:11,199: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 15:02:11,200: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 15:02:11,200: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 15:02:11,262: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:11,265: +PARAM [/roslaunch/uris/host_10_176_33_207__41269] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:11,402: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:11,403: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:11,414: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:45149/
[rosmaster.master][INFO] 2025-08-19 15:02:11,416: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:45149/
[rosmaster.master][INFO] 2025-08-19 15:02:11,419: +PUB [/rosout_agg] /rosout http://10.176.33.207:45149/
[rosmaster.master][INFO] 2025-08-19 15:02:11,425: +SUB [/rosout] /rosout http://10.176.33.207:45149/
[rosmaster.master][INFO] 2025-08-19 15:02:15,644: +PARAM [/roslaunch/uris/host_localhost__33823] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,654: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,655: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,655: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,655: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,655: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,656: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,656: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,656: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,656: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,656: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,657: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,657: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,657: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,657: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,657: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,658: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,658: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,658: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,658: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,658: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,658: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,659: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:15,659: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 15:02:16,073: +PUB [/rosout] /JOYSTICK http://localhost:35511/
[rosmaster.master][INFO] 2025-08-19 15:02:16,075: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:35511/
[rosmaster.master][INFO] 2025-08-19 15:02:16,078: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:35511/
[rosmaster.master][INFO] 2025-08-19 15:02:16,081: +PUB [/diagnostics] /JOYSTICK http://localhost:35511/
[rosmaster.master][INFO] 2025-08-19 15:02:16,086: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 15:02:16,095: +PUB [/joy] /JOYSTICK http://localhost:35511/
[rosmaster.master][INFO] 2025-08-19 15:02:16,106: publisherUpdate[/rosout] -> http://10.176.33.207:45149/ ['http://localhost:35511/']
[rosmaster.master][INFO] 2025-08-19 15:02:16,120: publisherUpdate[/rosout] -> http://10.176.33.207:45149/ ['http://localhost:35511/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 15:02:16,125: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:35511/
[rosmaster.master][INFO] 2025-08-19 15:02:16,210: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-19 15:02:17,598: +PUB [/rosout] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,617: publisherUpdate[/rosout] -> http://10.176.33.207:45149/ ['http://localhost:35511/', 'http://localhost:46153/']
[rosmaster.master][INFO] 2025-08-19 15:02:17,620: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,621: publisherUpdate[/rosout] -> http://10.176.33.207:45149/ ['http://localhost:35511/', 'http://localhost:46153/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-19 15:02:17,624: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,638: +SERVICE [/rosapi/topics] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,642: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,648: +SERVICE [/rosapi/services] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,654: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,660: +SERVICE [/rosapi/nodes] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,666: +SERVICE [/rosapi/node_details] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,680: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,685: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,690: +SERVICE [/rosapi/service_type] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,695: +SERVICE [/rosapi/publishers] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,698: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,702: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,705: +SERVICE [/rosapi/service_node] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,708: +SERVICE [/rosapi/service_host] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,712: +SERVICE [/rosapi/message_details] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,716: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,720: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,725: +SERVICE [/rosapi/set_param] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,729: +SERVICE [/rosapi/get_param] /rosapi http://localhost:46153/
[rosmaster.master][INFO] 2025-08-19 15:02:17,733: +PUB [/rosout] /kelpie http://localhost:46759/
