[rosmaster.main][INFO] 2025-08-11 13:53:08,697: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:53:08,697: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:53:08,699: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:53:08,699: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:53:08,700: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:53:08,700: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:53:08,725: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,728: +PARAM [/roslaunch/uris/host_localhost__33261] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,864: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,864: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,865: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,865: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,865: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,865: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,865: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,866: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,866: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,866: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,866: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,867: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,867: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,867: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,867: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,868: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,868: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,868: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,868: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,868: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,869: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,870: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,871: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:53:08,873: +SERVICE [/rosout/get_loggers] /rosout http://localhost:39201/
[rosmaster.master][INFO] 2025-08-11 13:53:08,876: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:39201/
[rosmaster.master][INFO] 2025-08-11 13:53:08,882: +PUB [/rosout_agg] /rosout http://localhost:39201/
[rosmaster.master][INFO] 2025-08-11 13:53:08,895: +SUB [/rosout] /rosout http://localhost:39201/
[rosmaster.master][INFO] 2025-08-11 13:53:09,134: +PUB [/rosout] /JOYSTICK http://localhost:40711/
[rosmaster.master][INFO] 2025-08-11 13:53:09,136: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:40711/
[rosmaster.master][INFO] 2025-08-11 13:53:09,138: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:40711/
[rosmaster.master][INFO] 2025-08-11 13:53:09,150: +PUB [/diagnostics] /JOYSTICK http://localhost:40711/
[rosmaster.master][INFO] 2025-08-11 13:53:09,152: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 13:53:09,157: +PUB [/joy] /JOYSTICK http://localhost:40711/
[rosmaster.master][INFO] 2025-08-11 13:53:09,179: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:40711/
[rosmaster.master][INFO] 2025-08-11 13:53:09,199: publisherUpdate[/rosout] -> http://localhost:39201/ ['http://localhost:40711/']
[rosmaster.master][INFO] 2025-08-11 13:53:09,218: publisherUpdate[/rosout] -> http://localhost:39201/ ['http://localhost:40711/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:53:09,256: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 13:53:10,380: +PUB [/rosout] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,388: +PUB [/rosout] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,395: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,398: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,403: publisherUpdate[/rosout] -> http://localhost:39201/ ['http://localhost:40711/', 'http://localhost:40321/']
[rosmaster.master][INFO] 2025-08-11 13:53:10,404: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,410: publisherUpdate[/rosout] -> http://localhost:39201/ ['http://localhost:40711/', 'http://localhost:40321/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:53:10,410: publisherUpdate[/rosout] -> http://localhost:39201/ ['http://localhost:40711/', 'http://localhost:40321/', 'http://localhost:43385/']
[rosmaster.master][INFO] 2025-08-11 13:53:10,411: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,415: publisherUpdate[/rosout] -> http://localhost:39201/ ['http://localhost:40711/', 'http://localhost:40321/', 'http://localhost:43385/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:53:10,415: +SERVICE [/rosapi/topics] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,419: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,422: +SUB [/kelpie/imu] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,424: +SERVICE [/rosapi/services] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,427: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,429: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,431: +SERVICE [/rosapi/nodes] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,435: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,437: +SERVICE [/rosapi/node_details] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,440: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:43385/
[rosmaster.master][INFO] 2025-08-11 13:53:10,441: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,444: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,445: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 13:53:10,447: +SERVICE [/rosapi/service_type] /rosapi http://localhost:40321/
[rosmaster.master][INFO] 2025-08-11 13:53:10,450: +SERVICE [/rosapi/publishers] /rosapi http://localhost:40321/
