[rosmaster.main][INFO] 2025-08-11 14:07:31,892: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 14:07:31,893: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 14:07:31,894: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 14:07:31,895: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 14:07:31,896: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 14:07:31,896: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 14:07:31,910: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:31,914: +PARAM [/roslaunch/uris/host_localhost__43207] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,052: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,052: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,052: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,053: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,053: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,053: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,054: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,054: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,054: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,054: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,055: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,055: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,055: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,055: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,055: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,056: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,056: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,056: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,056: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,057: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,057: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,058: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,059: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:07:32,061: +SERVICE [/rosout/get_loggers] /rosout http://localhost:41793/
[rosmaster.master][INFO] 2025-08-11 14:07:32,064: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:41793/
[rosmaster.master][INFO] 2025-08-11 14:07:32,070: +PUB [/rosout_agg] /rosout http://localhost:41793/
[rosmaster.master][INFO] 2025-08-11 14:07:32,082: +SUB [/rosout] /rosout http://localhost:41793/
[rosmaster.master][INFO] 2025-08-11 14:07:32,321: +PUB [/rosout] /JOYSTICK http://localhost:35777/
[rosmaster.master][INFO] 2025-08-11 14:07:32,324: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:35777/
[rosmaster.master][INFO] 2025-08-11 14:07:32,335: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:35777/
[rosmaster.master][INFO] 2025-08-11 14:07:32,340: +PUB [/diagnostics] /JOYSTICK http://localhost:35777/
[rosmaster.master][INFO] 2025-08-11 14:07:32,343: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 14:07:32,359: +PUB [/joy] /JOYSTICK http://localhost:35777/
[rosmaster.master][INFO] 2025-08-11 14:07:32,369: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:35777/
[rosmaster.master][INFO] 2025-08-11 14:07:32,395: publisherUpdate[/rosout] -> http://localhost:41793/ ['http://localhost:35777/']
[rosmaster.master][INFO] 2025-08-11 14:07:32,409: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 14:07:32,413: publisherUpdate[/rosout] -> http://localhost:41793/ ['http://localhost:35777/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:07:33,770: +PUB [/rosout] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,773: +PUB [/rosout] /kelpie http://localhost:36635/
[rosmaster.master][INFO] 2025-08-11 14:07:33,780: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,789: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:36635/
[rosmaster.master][INFO] 2025-08-11 14:07:33,790: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,794: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:36635/
[rosmaster.master][INFO] 2025-08-11 14:07:33,799: publisherUpdate[/rosout] -> http://localhost:41793/ ['http://localhost:35777/', 'http://localhost:45067/']
[rosmaster.master][INFO] 2025-08-11 14:07:33,805: publisherUpdate[/rosout] -> http://localhost:41793/ ['http://localhost:35777/', 'http://localhost:45067/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:07:33,808: publisherUpdate[/rosout] -> http://localhost:41793/ ['http://localhost:35777/', 'http://localhost:45067/', 'http://localhost:36635/']
[rosmaster.master][INFO] 2025-08-11 14:07:33,806: +SERVICE [/rosapi/topics] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,812: publisherUpdate[/rosout] -> http://localhost:41793/ ['http://localhost:35777/', 'http://localhost:45067/', 'http://localhost:36635/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:07:33,813: +SUB [/kelpie/imu] /kelpie http://localhost:36635/
[rosmaster.master][INFO] 2025-08-11 14:07:33,816: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,821: +SERVICE [/rosapi/services] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,823: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:36635/
[rosmaster.master][INFO] 2025-08-11 14:07:33,825: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,828: +SERVICE [/rosapi/nodes] /rosapi http://localhost:45067/
[rosmaster.master][INFO] 2025-08-11 14:07:33,830: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:36635/
[rosmaster.master][INFO] 2025-08-11 14:07:33,833: +SERVICE [/rosapi/node_details] /rosapi http://localhost:45067/
