[rosmaster.main][INFO] 2025-08-11 14:50:30,177: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 14:50:30,178: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 14:50:30,179: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 14:50:30,180: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 14:50:30,181: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 14:50:30,181: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 14:50:30,201: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,204: +PARAM [/roslaunch/uris/host_localhost__45509] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,341: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,341: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,342: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,342: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,342: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,342: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,342: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,343: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,343: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,343: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,343: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,344: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,344: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,344: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,344: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,345: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,345: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,345: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,346: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,346: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,347: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 14:50:30,350: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44741/
[rosmaster.master][INFO] 2025-08-11 14:50:30,353: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44741/
[rosmaster.master][INFO] 2025-08-11 14:50:30,359: +PUB [/rosout_agg] /rosout http://localhost:44741/
[rosmaster.master][INFO] 2025-08-11 14:50:30,371: +SUB [/rosout] /rosout http://localhost:44741/
[rosmaster.master][INFO] 2025-08-11 14:50:32,002: +PUB [/rosout] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,010: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,013: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,015: +PUB [/rosout] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,023: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,025: +SERVICE [/rosapi/topics] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,027: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,028: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,032: +SERVICE [/rosapi/services] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,033: +SUB [/kelpie/imu] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,035: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,038: +SERVICE [/rosapi/nodes] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,039: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,042: +SERVICE [/rosapi/node_details] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,045: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,046: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,048: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,050: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,052: +SERVICE [/rosapi/service_type] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,055: +SERVICE [/rosapi/publishers] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,056: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,059: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,063: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,064: +SUB [/kelpie/command_input] /kelpie http://localhost:45367/
[rosmaster.master][INFO] 2025-08-11 14:50:32,066: +SERVICE [/rosapi/service_node] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,068: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,070: +SERVICE [/rosapi/service_host] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,074: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,075: +SERVICE [/rosapi/message_details] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,079: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,080: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,083: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,083: publisherUpdate[/rosout] -> http://localhost:44741/ ['http://localhost:40623/']
[rosmaster.master][INFO] 2025-08-11 14:50:32,087: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,088: +SERVICE [/rosapi/set_param] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,095: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,096: +SERVICE [/rosapi/get_param] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,105: +SERVICE [/rosapi/has_param] /rosapi http://localhost:40623/
[rosmaster.master][INFO] 2025-08-11 14:50:32,107: publisherUpdate[/rosout] -> http://localhost:44741/ ['http://localhost:40623/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 14:50:32,108: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 14:50:32,108: +SERVICE [/rosapi/search_param] /rosapi http://localhost:40623/
