[rosmaster.main][INFO] 2025-09-04 14:43:31,766: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-04 14:43:31,766: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-04 14:43:31,768: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-04 14:43:31,768: Started XML-RPC server [http://10.237.54.207:11311/]
[rosmaster.master][INFO] 2025-09-04 14:43:31,769: Master initialized: port[11311], uri[http://10.237.54.207:11311/]
[xmlrpc][INFO] 2025-09-04 14:43:31,769: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-04 14:43:31,880: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:43:31,883: +PARAM [/roslaunch/uris/host_10_237_54_207__40373] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:43:32,016: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:43:32,017: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:43:32,028: +SERVICE [/rosout/get_loggers] /rosout http://10.237.54.207:33923/
[rosmaster.master][INFO] 2025-09-04 14:43:32,029: +SERVICE [/rosout/set_logger_level] /rosout http://10.237.54.207:33923/
[rosmaster.master][INFO] 2025-09-04 14:43:32,032: +PUB [/rosout_agg] /rosout http://10.237.54.207:33923/
[rosmaster.master][INFO] 2025-09-04 14:43:32,038: +SUB [/rosout] /rosout http://10.237.54.207:33923/
[rosmaster.master][INFO] 2025-09-04 14:44:09,292: +PARAM [/roslaunch/uris/host_10_237_54_207__41471] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,304: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,305: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,305: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,305: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,306: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,306: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,306: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,306: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,307: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,307: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,307: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,307: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,308: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,308: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,308: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,308: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,308: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,309: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,309: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,309: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,309: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,310: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,310: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-09-04 14:44:09,678: +PUB [/rosout] /JOYSTICK http://10.237.54.207:37263/
[rosmaster.master][INFO] 2025-09-04 14:44:09,682: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://10.237.54.207:37263/
[rosmaster.master][INFO] 2025-09-04 14:44:09,684: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://10.237.54.207:37263/
[rosmaster.master][INFO] 2025-09-04 14:44:09,693: +PUB [/diagnostics] /JOYSTICK http://10.237.54.207:37263/
[rosmaster.master][INFO] 2025-09-04 14:44:09,697: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-04 14:44:09,706: +PUB [/joy] /JOYSTICK http://10.237.54.207:37263/
[rosmaster.master][INFO] 2025-09-04 14:44:09,724: +SUB [/joy/set_feedback] /JOYSTICK http://10.237.54.207:37263/
[rosmaster.master][INFO] 2025-09-04 14:44:09,734: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/']
[rosmaster.master][INFO] 2025-09-04 14:44:09,754: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:09,821: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-09-04 14:44:11,161: +PUB [/rosout] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,169: +SERVICE [/rosapi/get_loggers] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,172: +PUB [/rosout] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,179: +SERVICE [/rosapi/set_logger_level] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,185: +SERVICE [/kelpie/get_loggers] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,189: +SERVICE [/kelpie/set_logger_level] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,193: +SERVICE [/rosapi/topics] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,197: +SUB [/kelpie/imu] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,199: +SERVICE [/rosapi/topics_for_type] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,204: +SERVICE [/rosapi/services] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,207: +SUB [/kelpie/leg_control/currents] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,208: +SERVICE [/rosapi/services_for_type] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,213: +SERVICE [/rosapi/nodes] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,213: +SUB [/kelpie/battery/voltage] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,216: +SERVICE [/rosapi/node_details] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,218: +PUB [/kelpie/leg_control/joint_states] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,219: +SERVICE [/rosapi/action_servers] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,223: +SERVICE [/rosapi/topic_type] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,224: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,227: +SERVICE [/rosapi/service_type] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,230: +SUB [/kelpie/command_input] /kelpie http://10.237.54.207:35679/
[rosmaster.master][INFO] 2025-09-04 14:44:11,232: +SERVICE [/rosapi/publishers] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,234: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,236: +SERVICE [/rosapi/subscribers] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,239: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,239: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,240: +SERVICE [/rosapi/service_providers] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,245: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,247: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,248: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/', 'http://10.237.54.207:35679/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,250: +SERVICE [/rosapi/service_node] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,251: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/', 'http://10.237.54.207:35679/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,255: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,256: +SERVICE [/rosapi/service_host] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,260: +SERVICE [/rosapi/message_details] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,261: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,263: +SERVICE [/rosapi/service_request_details] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,266: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,268: +SERVICE [/rosapi/service_response_details] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,270: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,272: +SERVICE [/rosapi/set_param] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,275: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,276: +SERVICE [/rosapi/get_param] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,280: +SERVICE [/rosapi/has_param] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,284: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,284: +SERVICE [/rosapi/search_param] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,288: +SERVICE [/rosapi/delete_param] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,290: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,291: +SERVICE [/rosapi/get_param_names] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,295: +SERVICE [/rosapi/get_time] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,296: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,299: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://10.237.54.207:38881/
[rosmaster.master][INFO] 2025-09-04 14:44:11,302: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,303: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-09-04 14:44:11,307: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,311: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,314: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,320: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,324: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,329: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,333: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,337: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,341: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-09-04 14:44:11,457: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-09-04 14:44:11,700: +PUB [/kelpie/leg_control/currents] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,704: +PUB [/kelpie/battery/voltage] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,706: +PUB [/kelpie/imu] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,747: publisherUpdate[/kelpie/leg_control/currents] -> http://10.237.54.207:35679/ ['http://10.237.54.207:41257/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,754: publisherUpdate[/kelpie/leg_control/currents] -> http://10.237.54.207:35679/ ['http://10.237.54.207:41257/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,755: publisherUpdate[/kelpie/battery/voltage] -> http://10.237.54.207:35679/ ['http://10.237.54.207:41257/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,760: publisherUpdate[/kelpie/battery/voltage] -> http://10.237.54.207:35679/ ['http://10.237.54.207:41257/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,760: publisherUpdate[/kelpie/imu] -> http://10.237.54.207:35679/ ['http://10.237.54.207:41257/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,765: publisherUpdate[/kelpie/imu] -> http://10.237.54.207:35679/ ['http://10.237.54.207:41257/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,767: +PUB [/rosout] /rosbridge_websocket http://10.237.54.207:33467/
[rosmaster.master][INFO] 2025-09-04 14:44:11,778: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://10.237.54.207:33467/
[rosmaster.master][INFO] 2025-09-04 14:44:11,781: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://10.237.54.207:33467/
[rosmaster.master][INFO] 2025-09-04 14:44:11,789: +PUB [/rosout] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,797: +SERVICE [/hardware/get_loggers] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,801: +SERVICE [/hardware/set_logger_level] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,823: +PUB [/client_count] /rosbridge_websocket http://10.237.54.207:33467/
[rosmaster.master][INFO] 2025-09-04 14:44:11,827: +PUB [/connected_clients] /rosbridge_websocket http://10.237.54.207:33467/
[rosmaster.master][INFO] 2025-09-04 14:44:11,836: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-04 14:44:11,843: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-09-04 14:44:11,857: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/', 'http://10.237.54.207:35679/', 'http://10.237.54.207:33467/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,860: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/', 'http://10.237.54.207:35679/', 'http://10.237.54.207:33467/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,860: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/', 'http://10.237.54.207:35679/', 'http://10.237.54.207:33467/', 'http://10.237.54.207:41257/']
[rosmaster.master][INFO] 2025-09-04 14:44:11,863: publisherUpdate[/rosout] -> http://10.237.54.207:33923/ ['http://10.237.54.207:37263/', 'http://10.237.54.207:38881/', 'http://10.237.54.207:35679/', 'http://10.237.54.207:33467/', 'http://10.237.54.207:41257/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-09-04 14:44:11,868: +SUB [/kelpie/leg_control/joint_states] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,877: +SUB [/joy] /hardware http://10.237.54.207:41257/
[rosmaster.master][INFO] 2025-09-04 14:44:11,881: +PUB [/kelpie/command_input] /hardware http://10.237.54.207:41257/
