[rosmaster.main][INFO] 2025-08-11 15:40:44,816: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 15:40:44,816: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 15:40:44,818: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 15:40:44,819: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 15:40:44,819: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 15:40:44,819: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 15:40:44,835: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,838: +PARAM [/roslaunch/uris/host_localhost__41149] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,977: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,978: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,978: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,978: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,978: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,979: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,979: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,979: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,979: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,980: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,980: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,980: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,980: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,980: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,981: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,981: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,981: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,981: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,982: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,982: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,982: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:40:44,988: +SERVICE [/rosout/get_loggers] /rosout http://localhost:34667/
[rosmaster.master][INFO] 2025-08-11 15:40:44,991: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:34667/
