[rosmaster.main][INFO] 2025-08-11 15:55:08,550: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 15:55:08,550: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 15:55:08,552: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 15:55:08,552: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 15:55:08,553: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 15:55:08,553: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 15:55:08,576: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,579: +PARAM [/roslaunch/uris/host_localhost__36721] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,713: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,713: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,713: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,714: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,714: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,714: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,714: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,715: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,715: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,715: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,715: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,716: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,716: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,716: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,716: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,717: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,717: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,717: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,719: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,719: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,720: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,720: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,720: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:55:08,722: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44117/
[rosmaster.master][INFO] 2025-08-11 15:55:08,723: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44117/
[rosmaster.master][INFO] 2025-08-11 15:55:08,729: +PUB [/rosout_agg] /rosout http://localhost:44117/
[rosmaster.master][INFO] 2025-08-11 15:55:08,741: +SUB [/rosout] /rosout http://localhost:44117/
[rosmaster.master][INFO] 2025-08-11 15:55:09,004: +PUB [/rosout] /JOYSTICK http://localhost:37379/
[rosmaster.master][INFO] 2025-08-11 15:55:09,007: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:37379/
[rosmaster.master][INFO] 2025-08-11 15:55:09,009: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:37379/
[rosmaster.master][INFO] 2025-08-11 15:55:09,020: +PUB [/diagnostics] /JOYSTICK http://localhost:37379/
[rosmaster.master][INFO] 2025-08-11 15:55:09,022: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 15:55:09,026: +PUB [/joy] /JOYSTICK http://localhost:37379/
[rosmaster.master][INFO] 2025-08-11 15:55:09,040: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:37379/
[rosmaster.master][INFO] 2025-08-11 15:55:09,053: publisherUpdate[/rosout] -> http://localhost:44117/ ['http://localhost:37379/']
[rosmaster.master][INFO] 2025-08-11 15:55:09,075: publisherUpdate[/rosout] -> http://localhost:44117/ ['http://localhost:37379/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 15:55:09,133: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 15:55:10,434: +PUB [/rosout] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,438: +PUB [/rosout] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,450: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,454: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,456: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,457: publisherUpdate[/rosout] -> http://localhost:44117/ ['http://localhost:37379/', 'http://localhost:33953/']
[rosmaster.master][INFO] 2025-08-11 15:55:10,460: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,466: +SUB [/kelpie/imu] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,468: publisherUpdate[/rosout] -> http://localhost:44117/ ['http://localhost:37379/', 'http://localhost:33953/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 15:55:10,470: publisherUpdate[/rosout] -> http://localhost:44117/ ['http://localhost:37379/', 'http://localhost:33953/', 'http://localhost:40807/']
[rosmaster.master][INFO] 2025-08-11 15:55:10,478: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,480: +SERVICE [/rosapi/topics] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,482: publisherUpdate[/rosout] -> http://localhost:44117/ ['http://localhost:37379/', 'http://localhost:33953/', 'http://localhost:40807/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 15:55:10,490: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,492: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,496: +SERVICE [/rosapi/services] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,498: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,501: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,505: +SERVICE [/rosapi/nodes] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,506: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,510: +SERVICE [/rosapi/node_details] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,515: +SUB [/kelpie/command_input] /kelpie http://localhost:33953/
[rosmaster.master][INFO] 2025-08-11 15:55:10,517: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,521: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,523: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,526: +SERVICE [/rosapi/service_type] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,528: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,530: +SERVICE [/rosapi/publishers] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,533: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,535: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,537: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,539: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,543: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,544: +SERVICE [/rosapi/service_node] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,549: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,550: +SERVICE [/rosapi/service_host] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,554: +SERVICE [/rosapi/message_details] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,556: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,559: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,560: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:55:10,563: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,567: +SERVICE [/rosapi/set_param] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,573: +SERVICE [/rosapi/get_param] /rosapi http://localhost:40807/
[rosmaster.master][INFO] 2025-08-11 15:55:10,577: +SERVICE [/rosapi/has_param] /rosapi http://localhost:40807/
