[rosmaster.main][INFO] 2025-08-11 12:34:43,347: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 12:34:43,348: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 12:34:43,349: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 12:34:43,350: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 12:34:43,350: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 12:34:43,350: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 12:34:43,382: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,386: +PARAM [/roslaunch/uris/host_localhost__43847] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,506: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,507: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,507: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,507: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,508: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,508: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,508: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,509: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,509: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,509: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,510: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,510: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,510: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,511: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,511: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,511: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,511: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,511: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,512: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,512: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,512: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 12:34:43,689: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36413/
[rosmaster.master][INFO] 2025-08-11 12:34:43,692: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36413/
[rosmaster.master][INFO] 2025-08-11 12:34:43,696: +PUB [/rosout_agg] /rosout http://localhost:36413/
[rosmaster.master][INFO] 2025-08-11 12:34:43,706: +SUB [/rosout] /rosout http://localhost:36413/
[rosmaster.master][INFO] 2025-08-11 12:34:44,880: +PUB [/rosout] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,888: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,890: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,900: +SERVICE [/rosapi/topics] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,902: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,905: +SERVICE [/rosapi/services] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,908: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,911: +SERVICE [/rosapi/nodes] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,914: +SERVICE [/rosapi/node_details] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,917: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,920: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,924: +SERVICE [/rosapi/service_type] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,927: +SERVICE [/rosapi/publishers] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,930: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,933: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,936: +SERVICE [/rosapi/service_node] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,939: +SERVICE [/rosapi/service_host] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,943: +SERVICE [/rosapi/message_details] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,946: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,949: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,952: publisherUpdate[/rosout] -> http://localhost:36413/ ['http://localhost:36553/']
[rosmaster.master][INFO] 2025-08-11 12:34:44,953: +SERVICE [/rosapi/set_param] /rosapi http://localhost:36553/
[rosmaster.master][INFO] 2025-08-11 12:34:44,962: +SERVICE [/rosapi/get_param] /rosapi http://localhost:36553/
