[rosmaster.main][INFO] 2025-08-14 17:53:18,341: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 17:53:18,342: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 17:53:18,344: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-14 17:53:18,344: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-14 17:53:18,345: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-14 17:53:18,345: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 17:53:18,370: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:18,373: +PARAM [/roslaunch/uris/host_10_176_33_207__41007] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:18,516: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:18,517: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:18,528: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:41777/
[rosmaster.master][INFO] 2025-08-14 17:53:18,529: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:41777/
[rosmaster.master][INFO] 2025-08-14 17:53:18,532: +PUB [/rosout_agg] /rosout http://10.176.33.207:41777/
[rosmaster.master][INFO] 2025-08-14 17:53:18,538: +SUB [/rosout] /rosout http://10.176.33.207:41777/
[rosmaster.master][INFO] 2025-08-14 17:53:33,991: +PARAM [/roslaunch/uris/host_localhost__33413] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,002: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,003: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,003: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,003: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,003: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,004: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,004: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,004: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,004: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,004: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,005: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,005: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,005: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,005: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,005: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,005: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,006: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,006: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,006: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:34,006: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:53:36,441: +PUB [/rosout] /rosapi http://localhost:41023/
