[rosmaster.main][INFO] 2025-08-11 15:33:51,298: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 15:33:51,298: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 15:33:51,300: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 15:33:51,301: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 15:33:51,302: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 15:33:51,302: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 15:33:51,421: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,424: +PARAM [/roslaunch/uris/host_localhost__37829] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,560: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,560: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,560: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,561: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,561: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,561: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,561: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,562: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,562: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,562: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,562: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,563: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,563: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,563: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,563: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,564: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,564: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,564: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,564: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,565: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,566: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 15:33:51,569: +SERVICE [/rosout/get_loggers] /rosout http://localhost:38537/
[rosmaster.master][INFO] 2025-08-11 15:33:51,572: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:38537/
[rosmaster.master][INFO] 2025-08-11 15:33:51,578: +PUB [/rosout_agg] /rosout http://localhost:38537/
[rosmaster.master][INFO] 2025-08-11 15:33:51,590: +SUB [/rosout] /rosout http://localhost:38537/
[rosmaster.master][INFO] 2025-08-11 15:33:53,236: +PUB [/rosout] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,239: +PUB [/rosout] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,247: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,249: +SERVICE [/kelpie/get_loggers] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,250: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,253: +SERVICE [/kelpie/set_logger_level] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,260: +SUB [/kelpie/imu] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,265: +SERVICE [/rosapi/topics] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,267: +SUB [/kelpie/leg_control/currents] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,269: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,273: +SERVICE [/rosapi/services] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,275: +SUB [/kelpie/battery/voltage] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,277: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,279: +PUB [/kelpie/leg_control/joint_states] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,281: +SERVICE [/rosapi/nodes] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,285: +SERVICE [/rosapi/node_details] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,287: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,290: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,294: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,295: +SUB [/kelpie/command_input] /kelpie http://localhost:33747/
[rosmaster.master][INFO] 2025-08-11 15:33:53,300: +SERVICE [/rosapi/service_type] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,304: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,304: publisherUpdate[/rosout] -> http://localhost:38537/ ['http://localhost:43121/']
[rosmaster.master][INFO] 2025-08-11 15:33:53,305: +SERVICE [/rosapi/publishers] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,315: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,320: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,322: publisherUpdate[/rosout] -> http://localhost:38537/ ['http://localhost:43121/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 15:33:53,324: publisherUpdate[/rosout] -> http://localhost:38537/ ['http://localhost:43121/', 'http://localhost:33747/']
[rosmaster.master][INFO] 2025-08-11 15:33:53,333: publisherUpdate[/rosout] -> http://localhost:38537/ ['http://localhost:43121/', 'http://localhost:33747/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 15:33:53,334: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,334: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,338: +SERVICE [/rosapi/service_node] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,340: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,342: +SERVICE [/rosapi/service_host] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,346: +SERVICE [/rosapi/message_details] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,348: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,351: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,353: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,355: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,359: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,360: +SERVICE [/rosapi/set_param] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,367: +SERVICE [/rosapi/get_param] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,368: +CACHEDPARAM [/rosout_disable_topics_generation] by /kelpie
[rosmaster.master][INFO] 2025-08-11 15:33:53,371: +SERVICE [/rosapi/has_param] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,378: +SERVICE [/rosapi/search_param] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,385: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,392: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,398: +SERVICE [/rosapi/get_time] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,404: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:33:53,411: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 15:33:53,545: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-11 15:33:54,066: +PUB [/rosout] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:33:54,073: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:33:54,075: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:33:54,106: +PUB [/client_count] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:33:54,107: publisherUpdate[/rosout] -> http://localhost:38537/ ['http://localhost:43121/', 'http://localhost:33747/', 'http://localhost:41035/']
[rosmaster.master][INFO] 2025-08-11 15:33:54,109: +PUB [/connected_clients] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:33:54,112: publisherUpdate[/rosout] -> http://localhost:38537/ ['http://localhost:43121/', 'http://localhost:33747/', 'http://localhost:41035/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 15:33:54,119: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 15:33:54,125: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 15:36:24,538: -PUB [/rosout] /rosapi http://localhost:43121/
[rosmaster.master][INFO] 2025-08-11 15:36:24,539: -PUB [/rosout] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:36:24,539: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,539: -PUB [/client_count] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:36:24,540: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,540: -PUB [/connected_clients] /rosbridge_websocket http://localhost:41035/
[rosmaster.master][INFO] 2025-08-11 15:36:24,540: -SERVICE [/rosapi/topics] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,541: -SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket rosrpc://localhost:46023
[rosmaster.master][INFO] 2025-08-11 15:36:24,541: -SERVICE [/rosapi/topics_for_type] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,541: -SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket rosrpc://localhost:46023
[rosmaster.master][INFO] 2025-08-11 15:36:24,542: -SERVICE [/rosapi/services] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,542: -SERVICE [/rosapi/services_for_type] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,543: -SERVICE [/rosapi/nodes] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,543: -SERVICE [/rosapi/node_details] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,543: -SERVICE [/rosapi/action_servers] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,544: -SERVICE [/rosapi/topic_type] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,544: -SERVICE [/rosapi/service_type] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,544: -SERVICE [/rosapi/publishers] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,545: -SERVICE [/rosapi/subscribers] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,545: -SERVICE [/rosapi/service_providers] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,545: -SERVICE [/rosapi/service_node] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,546: -SERVICE [/rosapi/service_host] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,546: -SERVICE [/rosapi/message_details] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,546: -SERVICE [/rosapi/service_request_details] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,546: -SERVICE [/rosapi/service_response_details] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,547: -SERVICE [/rosapi/set_param] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,547: -SERVICE [/rosapi/get_param] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,547: -SERVICE [/rosapi/has_param] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,547: -SERVICE [/rosapi/search_param] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,547: -SERVICE [/rosapi/delete_param] /rosapi rosrpc://localhost:35639
[rosmaster.master][INFO] 2025-08-11 15:36:24,548: -SERVICE [/rosapi/get_param_names] /rosapi rosrpc://localhost:35639
