[rosmaster.main][INFO] 2025-08-14 17:10:47,463: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-14 17:10:47,464: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-14 17:10:47,465: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-14 17:10:47,466: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-14 17:10:47,467: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-14 17:10:47,467: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-14 17:10:47,481: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:10:47,484: +PARAM [/roslaunch/uris/host_localhost__42343] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:10:47,623: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:10:47,623: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-14 17:10:47,634: +SERVICE [/rosout/get_loggers] /rosout http://localhost:35055/
[rosmaster.master][INFO] 2025-08-14 17:10:47,635: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:35055/
[rosmaster.master][INFO] 2025-08-14 17:10:47,638: +PUB [/rosout_agg] /rosout http://localhost:35055/
[rosmaster.master][INFO] 2025-08-14 17:10:47,643: +SUB [/rosout] /rosout http://localhost:35055/
[rosmaster.master][INFO] 2025-08-14 17:10:59,352: -PUB [/rosout_agg] /rosout http://localhost:35055/
[rosmaster.master][INFO] 2025-08-14 17:10:59,354: -SUB [/rosout] /rosout http://localhost:35055/
[rosmaster.master][INFO] 2025-08-14 17:10:59,355: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:60157
[rosmaster.master][INFO] 2025-08-14 17:10:59,356: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:60157
[rosmaster.main][INFO] 2025-08-14 17:10:59,365: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-08-14 17:10:59,365: stopping master...
[rospy.core][INFO] 2025-08-14 17:10:59,366: signal_shutdown [atexit]
