[rosmaster.main][INFO] 2025-08-19 14:41:47,051: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-19 14:41:47,051: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-19 14:41:47,053: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-08-19 14:41:47,054: Started XML-RPC server [http://10.176.33.207:11311/]
[rosmaster.master][INFO] 2025-08-19 14:41:47,054: Master initialized: port[11311], uri[http://10.176.33.207:11311/]
[xmlrpc][INFO] 2025-08-19 14:41:47,054: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-19 14:41:47,166: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:41:47,169: +PARAM [/roslaunch/uris/host_10_176_33_207__33889] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:41:47,319: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:41:47,320: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:41:47,500: +SERVICE [/rosout/get_loggers] /rosout http://10.176.33.207:35137/
[rosmaster.master][INFO] 2025-08-19 14:41:47,502: +SERVICE [/rosout/set_logger_level] /rosout http://10.176.33.207:35137/
[rosmaster.master][INFO] 2025-08-19 14:41:47,506: +PUB [/rosout_agg] /rosout http://10.176.33.207:35137/
[rosmaster.master][INFO] 2025-08-19 14:41:47,515: +SUB [/rosout] /rosout http://10.176.33.207:35137/
[rosmaster.master][INFO] 2025-08-19 14:44:27,713: +PARAM [/roslaunch/uris/host_10_176_33_207__35141] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,726: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,726: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,726: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,726: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,727: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,727: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,727: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,727: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,728: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,728: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,728: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,728: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,728: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-19 14:44:27,729: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
