[rosmaster.main][INFO] 2025-08-11 16:02:51,113: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 16:02:51,113: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 16:02:51,115: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 16:02:51,116: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 16:02:51,116: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 16:02:51,116: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 16:02:51,150: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,153: +PARAM [/roslaunch/uris/host_localhost__36303] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,261: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,261: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,262: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,262: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,262: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,263: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,263: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,263: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,264: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,264: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,264: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,264: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,265: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,265: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,266: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,267: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,267: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,268: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,268: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,268: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,268: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 16:02:51,270: +SERVICE [/rosout/get_loggers] /rosout http://localhost:39899/
[rosmaster.master][INFO] 2025-08-11 16:02:51,272: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:39899/
[rosmaster.master][INFO] 2025-08-11 16:02:51,278: +PUB [/rosout_agg] /rosout http://localhost:39899/
[rosmaster.master][INFO] 2025-08-11 16:02:51,290: +SUB [/rosout] /rosout http://localhost:39899/
[rosmaster.master][INFO] 2025-08-11 16:02:52,489: +PUB [/rosout] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,496: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,499: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,509: +SERVICE [/rosapi/topics] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,512: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,514: +SERVICE [/rosapi/services] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,517: publisherUpdate[/rosout] -> http://localhost:39899/ ['http://localhost:36411/']
[rosmaster.master][INFO] 2025-08-11 16:02:52,518: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,525: +SERVICE [/rosapi/nodes] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,529: publisherUpdate[/rosout] -> http://localhost:39899/ ['http://localhost:36411/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 16:02:52,531: +SERVICE [/rosapi/node_details] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,535: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,538: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,541: +SERVICE [/rosapi/service_type] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,544: +SERVICE [/rosapi/publishers] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,546: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,549: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,552: +SERVICE [/rosapi/service_node] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,555: +SERVICE [/rosapi/service_host] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,558: +SERVICE [/rosapi/message_details] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,560: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,563: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,566: +SERVICE [/rosapi/set_param] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,569: +SERVICE [/rosapi/get_param] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,571: +SERVICE [/rosapi/has_param] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,574: +SERVICE [/rosapi/search_param] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,577: +SERVICE [/rosapi/delete_param] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,580: +SERVICE [/rosapi/get_param_names] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,583: +SERVICE [/rosapi/get_time] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,585: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:52,589: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2025-08-11 16:02:52,735: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2025-08-11 16:02:53,057: +PUB [/rosout] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:53,066: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:53,069: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:53,104: +PUB [/client_count] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:53,107: +PUB [/connected_clients] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:53,116: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 16:02:53,118: publisherUpdate[/rosout] -> http://localhost:39899/ ['http://localhost:36411/', 'http://localhost:36031/']
[rosmaster.master][INFO] 2025-08-11 16:02:53,126: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2025-08-11 16:02:53,129: publisherUpdate[/rosout] -> http://localhost:39899/ ['http://localhost:36411/', 'http://localhost:36031/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 16:02:56,659: -PUB [/rosout] /rosapi http://localhost:36411/
[rosmaster.master][INFO] 2025-08-11 16:02:56,660: -SERVICE [/rosapi/get_loggers] /rosapi rosrpc://localhost:34657
[rosmaster.master][INFO] 2025-08-11 16:02:56,662: -PUB [/rosout] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:56,662: -SERVICE [/rosapi/set_logger_level] /rosapi rosrpc://localhost:34657
[rosmaster.master][INFO] 2025-08-11 16:02:56,662: -PUB [/client_count] /rosbridge_websocket http://localhost:36031/
[rosmaster.master][INFO] 2025-08-11 16:02:56,663: -SERVICE [/rosapi/topics] /rosapi rosrpc://localhost:34657
