[rosmaster.main][INFO] 2025-08-11 11:09:26,197: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 11:09:26,197: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 11:09:26,199: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 11:09:26,200: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 11:09:26,200: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 11:09:26,200: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 11:09:26,226: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,229: +PARAM [/roslaunch/uris/host_localhost__37631] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,347: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,347: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,348: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,348: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,348: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,348: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,349: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,349: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,349: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,349: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,349: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,350: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,350: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,350: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,350: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,351: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,351: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,351: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,351: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,351: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,351: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 11:09:26,527: +SERVICE [/rosout/get_loggers] /rosout http://localhost:40025/
[rosmaster.master][INFO] 2025-08-11 11:09:26,529: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:40025/
[rosmaster.master][INFO] 2025-08-11 11:09:26,533: +PUB [/rosout_agg] /rosout http://localhost:40025/
[rosmaster.master][INFO] 2025-08-11 11:09:26,543: +SUB [/rosout] /rosout http://localhost:40025/
[rosmaster.master][INFO] 2025-08-11 11:09:27,729: +PUB [/rosout] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,736: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,739: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,749: +SERVICE [/rosapi/topics] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,752: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,755: +SERVICE [/rosapi/services] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,759: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,762: +SERVICE [/rosapi/nodes] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,765: +SERVICE [/rosapi/node_details] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,768: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,771: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,775: +SERVICE [/rosapi/service_type] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,778: +SERVICE [/rosapi/publishers] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,781: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,784: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,788: +SERVICE [/rosapi/service_node] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,791: +SERVICE [/rosapi/service_host] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,794: +SERVICE [/rosapi/message_details] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,798: +SERVICE [/rosapi/service_request_details] /rosapi http://localhost:46463/
[rosmaster.master][INFO] 2025-08-11 11:09:27,801: +SERVICE [/rosapi/service_response_details] /rosapi http://localhost:46463/
