[rosmaster.main][INFO] 2025-09-06 13:44:47,482: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-09-06 13:44:47,483: Starting ROS Master Node
[xmlrpc][INFO] 2025-09-06 13:44:47,484: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-09-06 13:44:47,485: Started XML-RPC server [http://192.168.137.100:11311/]
[rosmaster.master][INFO] 2025-09-06 13:44:47,486: Master initialized: port[11311], uri[http://192.168.137.100:11311/]
[xmlrpc][INFO] 2025-09-06 13:44:47,486: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-09-06 13:44:47,500: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-09-06 13:44:47,503: +PARAM [/roslaunch/uris/host_192_168_137_100__45721] by /roslaunch
[rosmaster.master][INFO] 2025-09-06 13:44:47,653: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-09-06 13:44:47,653: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-09-06 13:44:47,831: +SERVICE [/rosout/get_loggers] /rosout http://192.168.137.100:46025/
[rosmaster.master][INFO] 2025-09-06 13:44:47,834: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.137.100:46025/
[rosmaster.master][INFO] 2025-09-06 13:44:47,838: +PUB [/rosout_agg] /rosout http://192.168.137.100:46025/
[rosmaster.master][INFO] 2025-09-06 13:44:47,846: +SUB [/rosout] /rosout http://192.168.137.100:46025/
[rosmaster.master][INFO] 2025-09-06 13:44:57,847: -PUB [/rosout_agg] /rosout http://192.168.137.100:46025/
[rosmaster.master][INFO] 2025-09-06 13:44:57,849: -SUB [/rosout] /rosout http://192.168.137.100:46025/
[rosmaster.master][INFO] 2025-09-06 13:44:57,855: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.137.100:41619
[rosmaster.master][INFO] 2025-09-06 13:44:57,856: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.137.100:41619
[rosmaster.main][INFO] 2025-09-06 13:44:57,983: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-09-06 13:44:57,983: stopping master...
[rospy.core][INFO] 2025-09-06 13:44:57,984: signal_shutdown [atexit]
