[rosmaster.main][INFO] 2025-08-11 13:47:17,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-08-11 13:47:17,574: Starting ROS Master Node
[xmlrpc][INFO] 2025-08-11 13:47:17,575: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2025-08-11 13:47:17,576: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2025-08-11 13:47:17,577: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2025-08-11 13:47:17,577: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-08-11 13:47:17,592: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,595: +PARAM [/roslaunch/uris/host_localhost__33579] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,732: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,733: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,733: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,733: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,734: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,734: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,734: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,734: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,735: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,735: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,735: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,735: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,735: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,736: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,736: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,736: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,736: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,737: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,737: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,737: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,739: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,739: +PARAM [/JOYSTICK/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,739: +PARAM [/JOYSTICK/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2025-08-11 13:47:17,741: +SERVICE [/rosout/get_loggers] /rosout http://localhost:45129/
[rosmaster.master][INFO] 2025-08-11 13:47:17,743: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:45129/
[rosmaster.master][INFO] 2025-08-11 13:47:17,749: +PUB [/rosout_agg] /rosout http://localhost:45129/
[rosmaster.master][INFO] 2025-08-11 13:47:17,761: +SUB [/rosout] /rosout http://localhost:45129/
[rosmaster.master][INFO] 2025-08-11 13:47:17,996: +PUB [/rosout] /JOYSTICK http://localhost:40655/
[rosmaster.master][INFO] 2025-08-11 13:47:17,999: +SERVICE [/JOYSTICK/get_loggers] /JOYSTICK http://localhost:40655/
[rosmaster.master][INFO] 2025-08-11 13:47:18,002: +SERVICE [/JOYSTICK/set_logger_level] /JOYSTICK http://localhost:40655/
[rosmaster.master][INFO] 2025-08-11 13:47:18,010: +PUB [/diagnostics] /JOYSTICK http://localhost:40655/
[rosmaster.master][INFO] 2025-08-11 13:47:18,012: +CACHEDPARAM [/JOYSTICK/diagnostic_period] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 13:47:18,022: +PUB [/joy] /JOYSTICK http://localhost:40655/
[rosmaster.master][INFO] 2025-08-11 13:47:18,042: +SUB [/joy/set_feedback] /JOYSTICK http://localhost:40655/
[rosmaster.master][INFO] 2025-08-11 13:47:18,076: publisherUpdate[/rosout] -> http://localhost:45129/ ['http://localhost:40655/']
[rosmaster.master][INFO] 2025-08-11 13:47:18,098: publisherUpdate[/rosout] -> http://localhost:45129/ ['http://localhost:40655/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:47:18,140: +CACHEDPARAM [/rosout_disable_topics_generation] by /JOYSTICK
[rosmaster.master][INFO] 2025-08-11 13:47:19,236: +PUB [/rosout] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,244: +SERVICE [/rosapi/get_loggers] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,247: +SERVICE [/rosapi/set_logger_level] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,258: +SERVICE [/rosapi/topics] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,261: +SERVICE [/rosapi/topics_for_type] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,264: +SERVICE [/rosapi/services] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,268: +SERVICE [/rosapi/services_for_type] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,271: +SERVICE [/rosapi/nodes] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,274: +SERVICE [/rosapi/node_details] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,277: +SERVICE [/rosapi/action_servers] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,279: publisherUpdate[/rosout] -> http://localhost:45129/ ['http://localhost:40655/', 'http://localhost:37543/']
[rosmaster.master][INFO] 2025-08-11 13:47:19,281: +SERVICE [/rosapi/topic_type] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,285: +SERVICE [/rosapi/service_type] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,292: publisherUpdate[/rosout] -> http://localhost:45129/ ['http://localhost:40655/', 'http://localhost:37543/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2025-08-11 13:47:19,295: +SERVICE [/rosapi/publishers] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,298: +SERVICE [/rosapi/subscribers] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,302: +SERVICE [/rosapi/service_providers] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,305: +SERVICE [/rosapi/service_node] /rosapi http://localhost:37543/
[rosmaster.master][INFO] 2025-08-11 13:47:19,310: +SERVICE [/rosapi/service_host] /rosapi http://localhost:37543/
